address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
"720 Henderson Hwy, Winnipeg, MB",,Winnipeg,Bronx Park Community Centre,https://www.bronxpark.ca/content.php?navigation_id=2449,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9271222,-97.1061385
"720 Henderson Hwy, Winnipeg, MB",,Winnipeg,Bronx Park Community Centre,https://www.bronxpark.ca/content.php?navigation_id=2449,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9271222,-97.1061385
"725 Kingsbury Ave, Winnipeg, MB",,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9473413,-97.1385559
"725 Kingsbury Ave, Winnipeg, MB",,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,,49.9473413,-97.1385559
"725 Kingsbury Ave, Winnipeg, MB",,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,,49.9473413,-97.1385559
"725 Kingsbury Ave, Winnipeg, MB",,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9473413,-97.1385559
"725 Kingsbury Ave, Winnipeg, MB",,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,49.9473413,-97.1385559
"725 Kylemore Ave, Winnipeg, MB",,Winnipeg,Lord Roberts Community Centre,http://lordrobertscc.ca/programs/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8601154,-97.1440268
"725 Kylemore Ave, Winnipeg, MB",,Winnipeg,Lord Roberts Community Centre,http://lordrobertscc.ca/programs/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8601154,-97.1440268
"725 Kylemore Ave, Winnipeg, MB",,Winnipeg,Lord Roberts Community Centre,http://lordrobertscc.ca/programs/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8601154,-97.1440268
"75 Woodlawn Ave, Winnipeg,MB",,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8218246,-97.1204901
"75 Woodlawn Ave, Winnipeg,MB",,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8218246,-97.1204901
"75 Woodlawn Ave, Winnipeg,MB",,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,49.8218246,-97.1204901
"75 Woodlawn Ave, Winnipeg,MB",,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.8218246,-97.1204901
"75 Woodlawn Ave, Winnipeg,MB",,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8218246,-97.1204901
"799 Logan Ave, MB",,Winnipeg,Charlie Gardiner Arena  (formerly Pioneer),https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9102329,-97.1575365
"8 Second Street, Tyndall, MB",,Brokenhead 4,Tyndall Curling Club,http://rmofbrokenhead.ca/m/tyndall-curling-club,Ice,Curling,Indoor,Public,,,,,,,,,,,,50.083984,-96.660971
"80 Derek St, Winnipeg, MB",,Winnipeg,Fort Garry Community Centre - Victoria Site,http://www.fortgarrycc.ca/home/facilities_programming,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.847354,-97.1583228
"80 Derek St, Winnipeg, MB",,Winnipeg,Fort Garry Community Centre - Victoria Site,http://www.fortgarrycc.ca/home/facilities_programming,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.847354,-97.1583228
"80 MB-247, La Salle, MB ",,Macdonald,Lasalle Curling Club,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51",Ice,Single surface,Indoor,Public,,,,,,,,,,,https://arenaguide.ca/city/oak-bluff/,49.6891518,-97.266166
"84 Saltel Rd, Ste Genevieve, MB",,Taché,Ste Genevieve Community Center ,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,37.9786618,-90.0475582
"87 Walmer St, Winnipeg, MB",,Winnipeg,Norwood Community Centre,https://www.norwoodcc.ca/contact-us,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8787749,-97.1284704
"87 Walmer St, Winnipeg, MB",,Winnipeg,Norwood Community Centre,https://www.norwoodcc.ca/contact-us,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8787749,-97.1284704
"880 Oakenwald Ave, Winnipeg, MB",,Winnipeg,Fort Garry Community Centre,http://www.fortgarrycc.ca/home/recreation,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.841291,-97.149081
"90 Ashland Ave, Winnipeg, MB",,Winnipeg,Riverview Community Centre,https://riverviewcc.ca/facility-rental/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8647231,-97.1188447
"90 Ferry Road, MB",,Winnipeg,Bourkevale Lawn Bowling,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/bourkevale.stm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8743604,-97.2208673
"90 Matilda Ave, Grand Marais, MB",,St. Clements,Grand Marais Recreation Centre,https://rmofstclements.com/venue/grand-marais-recreation-centre/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.5441918,-96.6125596
"90 Sinclair Street, MB",,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.9178996,-97.1613534
"90 Sinclair Street, MB",,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9178996,-97.1613534
"90 Sinclair Street, MB",,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9178996,-97.1613534
"90 Sinclair Street, MB",,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9178996,-97.1613534
