address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
"368 Southport Blvd, Winnipeg, MB",,Winnipeg,Tuxedo Community Centre,https://www.tuxedocc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.864942,-97.216332
"368 Southport Blvd, Winnipeg, MB",,Winnipeg,Tuxedo Community Centre,https://www.tuxedocc.ca/,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.864942,-97.216332
"368 Southport Blvd, Winnipeg, MB",,Winnipeg,Tuxedo Community Centre,https://www.tuxedocc.ca/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.864942,-97.216332
"3740 Main Street,Winnipeg,MB",,West St. Paul,West St. Paul School,https://weststpaul.com/p/other-recreation,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.9856639,-97.0624312
"381 Sherbrook Street, MB",,Winnipeg,Kinsmen Sherbrook (formerly Sherbrook Pool),https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sherbrook.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.8900848,-97.1584959
"381 Sherbrook Street, MB",,Winnipeg,Kinsmen Sherbrook (formerly Sherbrook Pool),https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sherbrook.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8900848,-97.1584959
"40 Mayfair Place, MB",,Winnipeg,Mayfair Recreation Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/mayfair.stm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8823714,-97.1378012
"40 Mayfair Place, MB",,Winnipeg,Mayfair Recreation Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/mayfair.stm,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8823714,-97.1378012
"40 Mayfair Place, MB",,Winnipeg,Mayfair Recreation Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/mayfair.stm,Ice,2+ Surfaces,Both,Public,,,,,,,,,,,,49.8823714,-97.1378012
"414 Lindenwood Dr W, Winnipeg, MB",,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8358421,-97.1979963
"414 Lindenwood Dr W, Winnipeg, MB",,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8358421,-97.1979963
"414 Lindenwood Dr W, Winnipeg, MB",,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,49.8358421,-97.1979963
"414 Lindenwood Dr W, Winnipeg, MB",,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.8358421,-97.1979963
"4230 Ridgewood Ave, Winnipeg, MB",,Winnipeg,Varsity View Community Centre - Sportsplex,https://varsityview.org/hall-rental/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.845026,-97.270632
"4230 Ridgewood Ave, Winnipeg, MB",,Winnipeg,Varsity View Community Centre - Sportsplex,https://varsityview.org/hall-rental/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.845026,-97.270632
"430 Langside Street, MB",,Winnipeg,Magnus Eliason Recreation Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/magnuseliason.stm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8919065,-97.1566153
"430 Langside Street, MB",,Winnipeg,Magnus Eliason Recreation Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/magnuseliason.stm,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8919065,-97.1566153
"431 Grassmere Rd., West St.Paul, MB",,West St. Paul,West St. Paul Curling Rink,https://weststpaul.com/p/other-recreation,Ice,Curling,Indoor,Public,,,,,,,,,,,,49.9810746,-97.0679855
"434 Adsum Dr, Winnipeg, MB",,Winnipeg,Maples Community Centre,http://maplescc.ca/contacts.html,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9535414,-97.1750468
"434 Adsum Dr, Winnipeg, MB",,Winnipeg,Maples Community Centre,http://maplescc.ca/contacts.html,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9535414,-97.1750468
"444 Adsum Drive, MB",,Winnipeg,Seven Oaks,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/seven_oaks.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.9532839,-97.175648
"448 Burnell Street, Winnipeg, MB",,Winnipeg,Valour Community Centre - Orioles Site,http://valourcc.ca/facilities/orioles/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8906726,-97.1707764
"448 Burnell Street, Winnipeg, MB",,Winnipeg,Valour Community Centre - Orioles Site,http://valourcc.ca/facilities/orioles/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8906726,-97.1707764
"460 Andrews St, Winnipeg, MB",,Winnipeg,Ralph Brown Community Centre,http://ralphbrowncc.com/rental.html,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,,49.9265975,-97.1386674
"471 Hampton St, Winnipeg, MB",,Winnipeg,Bord-Aire Community Centre,https://www.facebook.com/BordAire/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8894696,-97.2113946
"48 Holland Rd. West St. Paul, MB",,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9796448,-97.0817129
"48 Holland Rd. West St. Paul, MB",,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9796448,-97.0817129
"48 Holland Rd. West St. Paul, MB",,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9796448,-97.0817129
"48 Holland Rd. West St. Paul, MB",,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.9796448,-97.0817129
"48 Holland Rd. West St. Paul, MB",,Headingley,Headingley Community Centre,http://www.rmofheadingley.ca/p/rental-rates,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9796448,-97.0817129
"480 Chalmers Ave, Winnipeg, MB",,Winnipeg,Chalmers Community Centre,http://www.chalmerscc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9103749,-97.1010435
"480 Kimberly Ave, Winnipeg, MB",,Winnipeg,Melrose Park Community Centre,http://melroseparkcc.ca/contact.cfm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9233932,-97.0921428
"490 Keenleyside Street, Winnipeg, MB",,Winnipeg,East Elmwood Community Centre,http://eastelmwoodcc.ca/contact-us/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9069664,-97.0719681
"490 Keenleyside Street, Winnipeg, MB",,Winnipeg,East Elmwood Community Centre,http://eastelmwoodcc.ca/contact-us/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9069664,-97.0719681
"490 Keenleyside Street, Winnipeg, MB",,Winnipeg,East Elmwood Community Centre,http://eastelmwoodcc.ca/contact-us/,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.9069664,-97.0719681
"490 Sinclair St,Winnipeg, MB",,Winnipeg,Sinclair Park Community Centre,https://www.sinclairparkcc.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9302471,-97.1514312
"490 Sinclair St,Winnipeg, MB",,Winnipeg,Sinclair Park Community Centre,https://www.sinclairparkcc.com/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9302471,-97.1514312
"500 Nathaniel St., MB",,Winnipeg,Charles A. Barbour Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8553835,-97.168898
"510 King Street, MB",,Winnipeg,Turtle Island Neighbourhood Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/turtleisland.stm,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.911109,-97.136599
"510 King Street, MB",,Winnipeg,Turtle Island Neighbourhood Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/turtleisland.stm,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.911109,-97.136599
"51080 PR 501, Ross Municipal Rd 45 E, Richer, MB ",,Taché,Ross Community Centre,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.6721098,-96.4342822
"517 Pandora Ave E, Winnipeg, MB",,Winnipeg,East End Community Centre,https://eastendarena.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8945602,-96.992204
"517 Pandora Ave E, Winnipeg, MB",,Winnipeg,East End Community Centre,https://eastendarena.ca/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8945602,-96.992204
