address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
"2255 Rue Cartier, Longueuil, QC",,Longueuil,Maison de Quartier Saint-Jean-Vianney,http://www.rsjv.org/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.5146946,-73.4816284
"2255 Rue Cartier, Longueuil, QC",,Longueuil,Maison de Quartier Saint-Jean-Vianney,http://www.rsjv.org/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.5146946,-73.4816284
"2255 Rue Cartier, Longueuil, QC",,Longueuil,Maison de Quartier Saint-Jean-Vianney,http://www.rsjv.org/,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,,,,,,,,,,,45.5146946,-73.4816284
"2275 Boulevard Saint-Joseph Est, Montreal, QC",,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 Boulevard Saint-Joseph Est, Montreal, QC",,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 Boulevard Saint-Joseph Est, Montreal, QC",,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 Boulevard Saint-Joseph Est, Montreal, QC",,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 Boulevard Saint-Joseph Est, Montreal, QC",,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 St Joseph Blvd E, Montreal, QC",,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 St Joseph Blvd E, Montreal, QC",,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 St Joseph Blvd E, Montreal, QC",,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 St Joseph Blvd E, Montreal, QC",,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 St Joseph Blvd E, Montreal, QC",,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"2275 St Joseph Blvd E, Montreal, QC",,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/gymnase,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.5399104,-73.5760134
"230 Boulevard Arthur-Sauve, Saint-Eustache, QC",,Saint-Eustache,Complexe Aquatique Saint-Eustache,https://www.saint-eustache.ca/citoyens-sport-et-plein-air-installations-sportives-et-de-loisirs/complexe-aquatique-saint-eustache,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.5607575,-73.8963362
"230 Boulevard Arthur-Sauve, Saint-Eustache, QC",,Saint-Eustache,Complexe Aquatique Saint-Eustache,https://www.saint-eustache.ca/citoyens-sport-et-plein-air-installations-sportives-et-de-loisirs/complexe-aquatique-saint-eustache,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,45.5607575,-73.8963362
