Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address,google_type,google_latitude,google_longitude
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://missiongolfclub.com/,BC,Abbotsford - Mission,Mission,Mission Golf & Country Club,"7983 Nelson St, Mission, BC",RANGE_INTERPOLATED,49.1472701,-122.3562047
https://www.missionseniorscentre.com/,BC,Abbotsford - Mission,Mission,Mission Seniors Activity Centre,"33100 10 Ave, Mission, BC ",ROOFTOP,49.1424253,-122.3066512
https://www.missionseniorscentre.com/,BC,Abbotsford - Mission,Mission,Mission Seniors Activity Centre,"33100 10 Ave, Mission, BC ",ROOFTOP,49.1424253,-122.3066512
https://www.kelowna.ca/parks-recreation/recreation-facilities/memorial-arena,BC,Kelowna,Kelowna,Kelowna Memorial Arena,"1424 Ellis St, Kelowna, BC ",ROOFTOP,49.8886461,-119.494442
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC ",ROOFTOP,49.8360301,-119.4800257
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC ",ROOFTOP,49.8360301,-119.4800257
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC ",ROOFTOP,49.8360301,-119.4800257
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC ",ROOFTOP,49.8360301,-119.4800257
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC ",ROOFTOP,49.8360301,-119.4800257
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-arena,BC,Kelowna,Kelowna,Rutland Twin Arena,"645 Dodd Rd, Kelowna, BC ",ROOFTOP,49.8980395,-119.3798216
https://www.kelownacurling.com/,BC,Kelowna,Kelowna,Kelowna Curling Club,"551 Recreation Ave, Kelowna, BC ",ROOFTOP,49.8971953,-119.4920492
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC",ROOFTOP,49.83787239999999,-119.4809499
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC",ROOFTOP,49.83787239999999,-119.4809499
