Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC"
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC"
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC"
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC "
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC "
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC "
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC "
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC "
https://www.ymcaokanagan.ca/Locations/Kelowna/Kelowna-Downtown-YMCA,BC,Kelowna,Kelowna,Kelowna Downtown YMCA,"1011-505 Doyle Ave, Kelowna, BC "
https://www.ymcaokanagan.ca/Locations/Kelowna/Kelowna-Downtown-YMCA,BC,Kelowna,Kelowna,Kelowna Downtown YMCA,"1011-505 Doyle Ave, Kelowna, BC "
https://www.energyplex.ca/,BC,Kelowna,Kelowna,Energyplex Family Recreation Centre Kelowna,"948 McCurdy Rd, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-activity-centre,BC,Kelowna,Kelowna,Rutland Activity Centre,"765 Dodd Rd, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-activity-centre,BC,Kelowna,Kelowna,Rutland Activity Centre,"765 Dodd Rd, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-activity-centre,BC,Kelowna,Kelowna,Rutland Activity Centre,"765 Dodd Rd, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation-facilities/kinsmen-media-centre,BC,Kelowna,Kelowna,Kinsmen Media Centre,"900 Lexington Dr, Kelowna, BC"
https://www.kelowna.ca/parks-recreation/recreation-facilities/kinsmen-fieldhouse-hall,BC,Kelowna,Kelowna,Kinsmen Fieldhouse Hall,"3975 Gordon Dr, Kelowna, BC "
https://kelowna.cioc.ca/record/KNA1742,BC,Kelowna,Kelowna,Metis Community Services,"147 Park Rd, Kelowna, BC  "
https://airhouse.ca/locations,BC,Kelowna,Kelowna,Airhouse Kelowna,"730 McCurdy Rd, Kelowna, BC "
https://airhouse.ca/locations,BC,Kelowna,Kelowna,Airhouse Kelowna,"730 McCurdy Rd, Kelowna, BC "
https://ojcc.ca/,BC,Kelowna,Kelowna,Okanagan Jewish Community Centre,"102 Snowsell St N, Kelowna, BC  "
https://www.regionaldistrict.com/your-services/parks-services/park-and-facility-booking/joe-rich-community-hall.aspx,BC,Kelowna,Kelowna,Joe Rich Community Hall,"11481 BC-33, Kelowna, BC "
https://kelownabadminton.ca/,BC,Kelowna,Kelowna,Kelowna Badminton Club,"1098 Richter St, Kelowna, BC "
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC "
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC "
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC "
https://recreation.ok.ubc.ca/fitness/,BC,Kelowna,Kelowna,The Hangar Fitness and Wellness Centre,"3211 Athletics Ct, Kelowna, BC "
