Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address
73,Kinsmen Media Centre,Leisure / Community Centres,General,Indoor,Public,,"900 LEXINGTON DR, KELOWNA, BC"
74,Kinsmen Fieldhouse Hall,Leisure / Community Centres,General,Indoor,Public,,"3975 GORDON DR, KELOWNA, BC"
75,Metis Community Services,Leisure / Community Centres,General,Indoor,Public,,"147 PARK RD, KELOWNA, BC"
76,Airhouse Kelowna,Physical Recreation & Sports,Skate parks,Indoor,Public,,"730 MCCURDY RD, KELOWNA, BC"
78,Okanagan Jewish Community Centre,Leisure / Community Centres,General,Indoor,Public,,"102 SNOWSELL ST N, KELOWNA, BC"
79,Joe Rich Community Hall,Leisure / Community Centres,General,Indoor,Public,1,"11481 BC-33, KELOWNA, BC"
80,Kelowna Badminton Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,,"1098 RICHTER ST, KELOWNA, BC"
81,The Hangar Fitness and Wellness Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"3211 ATHLETICS CT, KELOWNA, BC"
85,Cedar Creek Community Centre,Leisure / Community Centres,General,Indoor,Public,,"5160 CHUTE LAKE RD, KELOWNA, BC"
86,Kelowna United Mission Soccer Dome,Physical Recreation & Sports,Sport fields,Indoor,Public,1,"4075 GORDON DRIVE, KELOWNA, BC"
87,Okanagan Mission Activity Centre,Leisure / Community Centres,General,Indoor,Public,,"4398 HOBSON RD, KELOWNA, BC"
89,Prospera Place,Ice,Single surface,Indoor,Public,1,"1223 WATER STREET, KELOWNA, BC"
90,Okanagan Boys & Girls Clubs ,Leisure / Community Centres,General,Indoor,Public,,"355 HARTMAN ROAD, KELOWNA, BC"
91,Martin Avenue Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1434 GRAHAM ST, KELOWNA, BC"
92,Okanagan Mission Community Hall Association,Leisure / Community Centres,General,Indoor,Public,,"4409 LAKESHORE ROAD, KELOWNA BC"
93,Ellison Community Hall,Leisure / Community Centres,General,Indoor,Public,,"4411 OLD VERNON RD, KELOWNA, BC"
94,East Kelowna Hall,Leisure / Community Centres,General,Indoor,Public,1,"2704 EAST KELOWNA ROAD, KELOWNA, BC"
95,Rutland Centennial Hall,Leisure / Community Centres,General,Indoor,Public,1,"215 SHEPHERD ROAD KELOWNA, BC"
96,Jim Lind Arena,Ice,Single surface,Indoor,Public,,"2760 CAMERON RD, WEST KELOWNA, BC"
97,Ultimate Hockey Centre,Ice,Single surface,Indoor,Private,,"1322 STEVENS RD, WEST KELOWNA, BC"
98,Royal LePage Place Arena,Ice,Single surface,Indoor,Both,,"2760 CAMERON RD, WEST KELOWNA, BC"
100,Johnson Bentley Memorial Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"3737 OLD OKANAGAN HWY, WEST KELOWNA, BC"
