Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address
1969,SaskTel Sports Centre,Leisure / Community Centres,General,Indoor,Public,1,"150 NELSON RD, SASKATOON, SK"
1973,Lakewood Indoor Tennis Centre,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,,"1635 MCKERCHER DR, SASKATOON, SK"
1974,Brian King Centre,Leisure / Community Centres,General,Indoor,Public,,"202 8TH AVE N, WARMAN, SK"
1975,The Legends Centre,Leisure / Community Centres,General,Indoor,Public,,"701 CENTENNIAL BLVD, WARMAN, SK"
1978,The Warman Diamond Rodeo Arena,Ice,Single surface,Indoor,Public,,"2 PACIFIC AVE, WARMAN, SK"
1979,Martensville Curling Club,Ice,Curling,Indoor,Private,,"555 MAIN ST, SASKATOON, SK"
1980,Martensville Civic Centre,Leisure / Community Centres,General,Indoor,Public,,"66 MAIN ST, MARTENSVILLE, SK"
1981,Heritage Centre,Leisure / Community Centres,General,Indoor,Public,,"415 6THE AVE S, MARTENSVILLE, SK"
1982,Martensville Athletic Pavilion,Leisure / Community Centres,General,Indoor,Public,,"200 MIKE SANDS BLVD, MARTENSVILLE, SK"
1988,North Ridge Centennial Community Centre,Leisure / Community Centres,General,Indoor,Public,,"901 3RD ST N, MARTENSVILLE, SK"
1989,Martensville Sports Centre,Ice,Single surface,Indoor,Public,,"555 MAIN ST, MARTENSVILLE, SK"
1991,Bergheim Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"BETTKER RD, CORMAN PARK NO. 344, SK"
1992,Floral Community Centre,Leisure / Community Centres,General,Indoor,Public,,"CORMAN PARK NO. 344, SK"
1993,Henrietta Community Hall,Leisure / Community Centres,General,Indoor,Public,,"CORMAN PARK NO. 344, SK"
1994,Merrill Hills Community Centre,Leisure / Community Centres,General,Indoor,Public,,"CORMAN PARK NO. 344, SK"
1995,Neuhorst Community Centre,Leisure / Community Centres,General,Indoor,Public,,"CORMAN PARK NO. 344, SK"
1996,South Corman Park School Log Cabin,Physical Recreation & Sports,Sport fields,Both,Public,,"PTN NE 22-35-5-W3, SASKATOON, SK"
1999,Dalmeny Arena,Ice,Single surface,Indoor,Public,,"215 RAILWAY AVE, DALMENY, SK"
2001,J. J. Loewen Community Centre,Physical Recreation & Sports,General,Indoor,Public,,"206 RAILWAY AVE, DALMENY, SK"
2002,Langham Curling Club,Ice,Curling,Indoor,Public,,"115 MAIN ST E LANGHAM, SK"
2004,Affinity Community Hall,Leisure / Community Centres,General,Indoor,Public,,"120 RAILWAY STREET, LANGHAM, SK"
2005,Aberdeen Rec Complex,Ice,Curling,Indoor,Public,,"225 E CENTRAL ST, ABERDEEN, SK"
2009,Aberdeen Community Hall,Leisure / Community Centres,General,Indoor,Public,,"202 2 AVE, ABERDEEN, SK"
2010,Osler Community Hall,Leisure / Community Centres,General,Indoor,Public,1,"508 1ST ST, OSLER, SK"
2011,The Gathering Place,Leisure / Community Centres,General,Indoor,Public,1,"211 2ND AVE, OSLER, SK"
2012,Delisle Centennial Arena,Ice,Single surface,Indoor,Public,1,"300 3RD AVE W, DELISLE, SK"
2014,Allan & District Communiplex,Ice,Single surface,Indoor,Public,,"PRINCESS ST, ALLAN SK"
2017,Asquith Sports Centre,Ice,Single surface,Indoor,Public,1,"LUNN ST, ASQUITH, SK"
2018,Dundurn Sports Arena,Ice,Single surface,Indoor,Public,,"211 3RD ST, DUNDURN, SK"
2019,Dundurn Community Hall,Leisure / Community Centres,General,Indoor,Public,,"214 3RD ST, DUNDURN, SK"
2020,Colonsay Community Hall,Leisure / Community Centres,General,Indoor,Public,,"109 TORRAN STREET, COLONSAY, SK"
2021,Colonsay & District Sports Centre,Ice,Single surface,Indoor,Public,,"200 ROSHER ST, COLONSAY, SK"
2022,Shields Community Centre,Leisure / Community Centres,General,Indoor,Public,,"8 PROCTER DRIVE, SHIELDS, SK"
2023,Clavet Community Arena,Ice,Single surface,Indoor,Public,,"2 2ND AVE, CLAVET, SK"
2024,Bonivital,Aquatics,25m pool with or without other pools,Indoor,Public,,"1215 ARCHIBALD STREET, WINNIPEG, MB"
2026,Cindy Klassen Recreation Complex,Aquatics,25m pool with or without other pools,Indoor,Public,,"999 SARGENT AVENUE, WINNIPEG, MB"
2031,Eldon Ross,Aquatics,25m pool with or without other pools,Indoor,Public,,"1887 PACIFIC AVENUE WEST, WINNIPEG, MB"
2033,Elmwood Kildonans ,Aquatics,25m pool with or without other pools,Indoor,Public,,"909 CONCORDIA AVENUE, WINNIPEG, MB"
2034,Elmwood Kildonans,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"909 CONCORDIA AVENUE, WINNIPEG, MB"
2035,Kinsmen Sherbrook (formerly Sherbrook Pool),Aquatics,25m pool with or without other pools,Indoor,Public,,"381 SHERBROOK STREET, WINNIPEG, MB"
2037,Margaret Grant,Aquatics,25m pool with or without other pools,Indoor,Public,,"685 DALHOUSIE DRIVE, WINNIPEG, MB"
2038,Pan Am,Aquatics,25m pool with or without other pools,Indoor,Public,,"25 POSEIDON BAY, WINNIPEG, MB"
2042,Seven Oaks,Aquatics,25m pool with or without other pools,Indoor,Public,,"444 ADSUM DRIVE, WINNIPEG, MB"
2043,Sergeant Tommy Prince Place,Aquatics,25m pool with or without other pools,Indoor,Public,,"90 SINCLAIR STREET, WINNIPEG, MB"
2046,St. James Assiniboia Centennial,Aquatics,25m pool with or without other pools,Indoor,Public,,"644 PARKDALE STREET, WINNIPEG, MB"
2051,St. James Civic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"2055 NESS AVENUE, WINNIPEG, MB"
2053,Transcona Kinsmen Centennial,Aquatics,25m pool with or without other pools,Indoor,Public,,"1101 WABASHA STREET, WINNIPEG, MB"
2055,Bourkevale Lawn Bowling,Leisure / Community Centres,General,Indoor,Public,,"90 FERRY ROAD, WINNIPEG, MB"
2056,Deer Lodge Tennis Club,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,"2050 NESS AVENUE, WINNIPEG, MB"
2057,Sam Southern Arena,Ice,Single surface,Indoor,Public,,"625 OSBORNE STREET, WINNIPEG, MB"
2058,Fort Rouge Leisure Centre,Leisure / Community Centres,General,Indoor,Public,,"625 OSBORNE STREET, WINNIPEG, MB"
2060,Freight House Recreation and Leisure Centre,Leisure / Community Centres,General,Indoor,Public,,"DOOR # 1 - 200 ISABEL STREET, WINNIPEG, MB"
2062,Magnus Eliason Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"430 LANGSIDE STREET, WINNIPEG, MB"
2064,Mayfair Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"40 MAYFAIR PLACE, WINNIPEG, MB"
2067,Peguis Trail Health & Fitness Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"1400 ROTHESAY STREET, WINNIPEG, MB"
2072,St. John's Leisure Centre,Leisure / Community Centres,General,Indoor,Public,,"601 AIKINS STREET, WINNIPEG, MB"
2073,Turtle Island Neighbourhood Centre,Leisure / Community Centres,General,Indoor,Public,,"510 KING STREET, WINNIPEG, MB"
2075,Bertrand Arena,Ice,Single surface,Indoor,Public,,"294 BERTRAND ST., WINNIPEG, MB"
2076,Billy Mosienko Arena,Ice,Single surface,Indoor,Public,,"709 KEEWATIN ST, WINNIPEG, MB"
2077,Century Arena,Ice,Single surface,Indoor,Public,,"1377 CLARENCE AVE., WINNIPEG, MB"
2078,Charles A. Barbour Arena,Ice,Single surface,Indoor,Public,,"500 NATHANIEL ST., WINNIPEG, MB"
2079,Charlie Gardiner Arena  (formerly Pioneer),Ice,Single surface,Indoor,Public,,"799 LOGAN AVE, WINNIPEG, MB"
2080,Eric Coy Arena,Ice,Single surface,Indoor,Public,,"535 OAKDALE DR., WINNIPEG, MB"
2081,Maginot Arena,Ice,Single surface,Indoor,Public,,"910 MAGINOT ST., WINNIPEG, MB"
2082,River East Arena,Ice,Single surface,Indoor,Public,,"1410 ROTHESAY ST., WINNIPEG, MB"
2083,Sargent Park Arena,Ice,Single surface,Indoor,Public,,"1111 WALL ST., WINNIPEG, MB"
2084,St. James Civic Centre Arena,Ice,Single surface,Indoor,Public,,"2055 NESS AVENUE, WINNIPEG, MB"
2085,St. Vital Centennial Arena,Ice,Single surface,Indoor,Public,,"580 ST. ANNE'S ROAD, WINNIPEG, MB"
2086,Terry Sawchuk Arena,Ice,Single surface,Indoor,Public,,"901 KIMBERLY AVE, WINNIPEG, MB"
2087,Oakbank & District Community Club & ONE Insurance Arena,Ice,Single surface,Indoor,Public,,"1016 ALMEY AVENUE, OAKBANK, WINNIPEG, MB"
2089,Maples Community Centre,Leisure / Community Centres,General,Indoor,Public,,"434 ADSUM DR, WINNIPEG, MB"
2091,Westdale Community Centre,Leisure / Community Centres,General,Indoor,Public,,"550 DALE BLVD, WINNIPEG, MB"
2092,Fort Garry Community Centre - Victoria Site,Leisure / Community Centres,General,Indoor,Public,,"80 DEREK ST, WINNIPEG, MB"
2094,Fort Garry Community Centre,Leisure / Community Centres,General,Indoor,Public,,"880 OAKENWALD AVE, WINNIPEG, MB"
2095,Chalmers Community Centre,Leisure / Community Centres,General,Indoor,Public,,"480 CHALMERS AVE, WINNIPEG, MB"
2096,Robert A. Steen Memorial Community Centre,Leisure / Community Centres,General,Indoor,Public,,"980 PALMERSTON AVE, WINNIPEG, MB"
2098,Morse Place Community Centre,Leisure / Community Centres,General,Indoor,Public,,"700 MUNROE AVE, WINNIPEG, MB"
2099,Varsity View Community Centre,Leisure / Community Centres,General,Indoor,Public,,"315 LAXDAL RD, WINNIPEG, MB"
2101,River Osborne Community Centre,Leisure / Community Centres,General,Indoor,Public,,"101 PEMBINA HWY, WINNIPEG, MB"
2103,Norwood Community Centre,Leisure / Community Centres,General,Indoor,Public,,"87 WALMER ST, WINNIPEG, MB"
2105,Valour Community Centre - Orioles Site,Leisure / Community Centres,General,Indoor,Public,,"448 BURNELL STREET, WINNIPEG, MB"
2107,Central Community Centre,Leisure / Community Centres,General,Indoor,Public,,"200 ISABEL ST, WINNIPEG, MB"
2109,Deer Lodge Community Centre,Leisure / Community Centres,General,Indoor,Public,,"323 BRUCE AVE EAST, WINNIPEG, MB"
2110,Norberry-Glenlee Community Centre - Glenlee site,Leisure / Community Centres,General,Indoor,Public,,"176 WORTHINGTON AVE, WINNIPEG, MB"
2113,East End Community Centre,Leisure / Community Centres,General,Indoor,Public,,"517 PANDORA AVE E, WINNIPEG, MB"
2117,North Kildonan Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1144 KINGSFORD PL, WINNIPEG, MB"
2121,Champlain Community Centre,Leisure / Community Centres,General,Indoor,Public,,"282 NIVERVILLE AVE, WINNIPEG, MB"
2124,Tuxedo Community Centre,Leisure / Community Centres,General,Indoor,Public,,"368 SOUTHPORT BLVD, WINNIPEG, MB"
2127,Westridge Community Centre - Whyte Ridge Site,Leisure / Community Centres,General,Indoor,Public,,"170 FLEETWOOD RD, WINNIPEG, MB"
2129,East Elmwood Community Centre,Leisure / Community Centres,General,Indoor,Public,,"490 KEENLEYSIDE STREET, WINNIPEG, MB"
2132,South Transcona Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"124 BORDEN AVE, WINNIPEG, MB"
2134,Oxford Heights Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"359 DOWLING AVE E, WINNIPEG, MB"
2137,Red River Community Centre,Leisure / Community Centres,General,Indoor,Public,,"293 MURRAY AVE, WINNIPEG, MB"
2139,Varsity View Community Centre - Sportsplex,Leisure / Community Centres,General,Indoor,Public,,"4230 RIDGEWOOD AVE, WINNIPEG, MB"
2141,Tyndall Park Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"2255 KING EDWARD ST, WINNIPEG, MB"
2143,Roblin Park Community Centre,Leisure / Community Centres,General,Indoor,Public,,"640 PEPPERLOAF CRES, WINNIPEG, MB"
2144,Garden City Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"725 KINGSBURY AVE, WINNIPEG, MB"
2149,Bourkevale Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"100 FERRY RD, WINNIPEG, MB"
2150,Bord-Aire Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"471 HAMPTON ST, WINNIPEG, MB"
2151,Greendell Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"75 WOODLAWN AVE, WINNIPEG,MB"
2156,Windsor Community Centre,Leisure / Community Centres,General,Indoor,Public,,"99 SPRINGSIDE DR, WINNIPEG, MB"
2160,Maples Community Centre - James Nisbett site,Leisure / Community Centres,General,Indoor,Public,,"70 DOUBLEDAY DR, WINNIPEG, MB"
2164,Sir John Franklin Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"1 SIR JOHN FRANKLIN RD, WINNIPEG, MB"
2165,Westridge Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"3 MARSHALL CRES, WINNIPEG, MB"
2166,Luxton Community Centre,Leisure / Community Centres,,Indoor,Public,,"210 ST CROSS ST, WINNIPEG, MB"
2167,Central Corydon CC- River Heights site,Leisure / Community Centres,General,Indoor,Public,1,"1370 GROSVENOR AVE, WINNIPEG, MB"
2169,Park City West Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"115 SANFORD FLEMING RD, WINNIPEG, MB"
2171,Valley Gardens Community Centre,Leisure / Community Centres,General,Indoor,Public,,"218 ANTRIM RD, WINNIPEG, MB"
2172,Northwood Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1415 BURROWS AVE, WINNIPEG, MB"
2174,Weston Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"1625 LOGAN AVE, WINNIPEG, MB"
2176,Norquay Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"65 GRANVILLE ST, WINNIPEG, MB"
2177,Southdale Community Centre,Leisure / Community Centres,General,Indoor,Public,,"254 LAKEWOOD BLVD, WINNIPEG, MB"
2179,Valour Community Centre - Isaac Brock site,Leisure / Community Centres,General,Indoor,Public,,"715 TELFER ST N, WINNIPEG, MB"
2182,Dakota Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"1188 DAKOTA ST, WINNIPEG, MB"
2187,Kirkfield Westwood Community Centre - McBey Site,Leisure / Community Centres,General,Indoor,Public,1,"3160 MCBEY AVE, WINNIPEG, MB"
2191,Sinclair Park Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"490 SINCLAIR ST,WINNIPEG, MB"
2193,Valour Community Centre - Clifton site,Leisure / Community Centres,General,Indoor,Public,,"1315 STRATHCONA ST, WINNIPEG, MB"
2194,Woodhaven Community Centre,Leisure / Community Centres,General,Indoor,Public,,"200 GLENDALE BLVD, WINNIPEG, MB"
2196,Vince Leah Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"1295 SALTER ST, WINNIPEG, MB"
2197,St. Norbert Community Centre,Leisure / Community Centres,General,Indoor,Public,,"3450 PEMBINA HWY, WINNIPEG, MB"
2200,Ralph Brown Community Centre,Leisure / Community Centres,Youth,Indoor,Public,1,"460 ANDREWS ST, WINNIPEG, MB"
2201,Assiniboine West Recreation Association - Morgan Site,Leisure / Community Centres,General,Indoor,Public,,"305 MORGAN CRES, WINNIPEG, MB"
2202,Melrose Park Community Centre,Leisure / Community Centres,General,Indoor,Public,,"480 KIMBERLY AVE, WINNIPEG, MB"
2203,Linden Woods Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"414 LINDENWOOD DR W, WINNIPEG, MB"
2207,Lord Roberts Community Centre,Leisure / Community Centres,General,Indoor,Public,,"725 KYLEMORE AVE, WINNIPEG, MB"
2210,Notre Dame Recreation Association,Leisure / Community Centres,General,Indoor,Public,,"271 DE LA CATHEDRALE AVE, WINNIPEG, MB"
2214,Gateway Recreation Centre,Leisure / Community Centres,General,Indoor,Public,1,"1717 GATEWAY RD, WINNIPEG, MB"
2217,Kirkfield Westwood Community Centre - Sansome Site,Leisure / Community Centres,General,Indoor,Public,1,"165 SANSOME AVE, WINNIPEG, MB"
2221,Earl Grey Community Centre,Leisure / Community Centres,General,Indoor,Public,,"360 COCKBURN ST N, WINNIPEG, MB"
2224,Bronx Park Community Centre,Leisure / Community Centres,General,Indoor,Public,,"720 HENDERSON HWY, WINNIPEG, MB"
2226,Winakwa Community Centre,Leisure / Community Centres,General,Indoor,Public,,"980 WINAKWA RD, WINNIPEG, MB"
2230,Central Corydon Community Centre - Crescentwood Site,Leisure / Community Centres,General,Indoor,Public,1,"1170 CORYDON AVE, WINNIPEG, MB"
2231,Waverley Heights Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1885 CHANCELLOR DR, WINNIPEG, MB"
2232,Archwood Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"565 GUILBAULT ST, WINNIPEG, MB"
2234,Richmond Kings Community Centre,Leisure / Community Centres,General,Indoor,Public,,"666 SILVERSTONE AVE, WINNIPEG, MB"
2235,Burton Cummings Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"960 ARLINGTON ST, WINNIPEG, MB"
2236,Sturgeon Heights Community Centre - Rita Site,Leisure / Community Centres,General,Indoor,Public,1,"210 RITA ST, WINNIPEG, MB"
2237,Riverview Community Centre,Leisure / Community Centres,General,Indoor,Public,,"90 ASHLAND AVE, WINNIPEG, MB"
2238,Oakbank and District Community Club (OBCC),Leisure / Community Centres,General,Indoor,Public,,"1016 ALMEY AVE, OAKBANK, MB"
2240,Cooks Creek Community Club,Leisure / Community Centres,General,Indoor,Public,,"30 026 ZORA ROAD, ANOLA, MB"
2242,Dugald Community Club,Leisure / Community Centres,General,Indoor,Public,,"544 HOLLAND STREET, ANOLA, MB"
2243,Hazelridge Sports Complex,Leisure / Community Centres,General,Indoor,Public,,"26 MEMORIAL BLVD, HAZELRIDGE, MB"
2245,Springfield Curling Club,Ice,Curling,Indoor,Public,,"672 DUGALD RD, DUGALD, MB"
2246,Lorette Community Complex,Leisure / Community Centres,General,Indoor,Public,,"1420 DAWSON RD, LORETTE,"
2248,Landmark Recreation Association,Ice,Single surface,Indoor,Public,,"191 ROBERT KOOP RD, LANDMARK, MB"
2250,Kinsmen Community Center,Leisure / Community Centres,General,Indoor,Public,,"191 ROBERT KOOP RD, LANDMARK, MB"
2251,Ste Genevieve Community Center ,Leisure / Community Centres,General,Indoor,Public,,"84 SALTEL RD, STE GENEVIEVE, MB"
2252,Ross Community Centre,Leisure / Community Centres,General,Indoor,Public,,"51080 PR 501, ROSS MUNICIPAL RD 45 E, RICHER, MB"
2253,Selkitk Community Pool,Aquatics,25m pool with or without other pools,Indoor,Public,1,"211 MERCY STREET, SELKIRK, MB"
2254,Grand Marais Recreation Centre,Leisure / Community Centres,General,Indoor,Public,1,"90 MATILDA AVE, GRAND MARAIS, MB"
2255,Corpus Christi Church Hall,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1,"5819 HENDERSON HWY, NAROL, MB"
2256,East Selkirk Recreation Association,Leisure / Community Centres,General,Indoor,Public,1,"1145 STRATHCONA ROAD, EAST SELKIRK, MB"
2257,East St. Paul Arena and Recreation Complex,Ice,Single surface,Both,Public,1,"266 HODDINOTT RD, EAST SAINT PAUL, MB"
2259,Centennial Plaza,Leisure / Community Centres,General,Indoor,Public,1,"3021 BIRDS HILL ROAD, EAST ST. PAUL, MB"
2260,East St. Paul Curling,Ice,Single surface,Indoor,Public,,"260 HODDINOTT ROAD, EAST ST PAUL, MB"
2261,Brunkild Memorial Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"10 305 PR, BRUNKILD, MB"
2262,Macdonald Hockey - Sanford/Brunkild Rep. (Sanford Arena),Ice,Single surface,Indoor,Public,,"174 MANDAN DR, SANFORD, MB"
2263,Domain Arena,Ice,Single surface,Indoor,Public,,"6 MACDONALD RD, DOMAIN, MB"
2264,Lasalle Curling Club,Ice,Single surface,Indoor,Public,,"80 MB-247, LA SALLE, MB"
2265,Oak Bluff Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"101 MACDONALD RD, OAK BLUFF, MB"
2266,Oak Bluff Arena,Ice,Single surface,Indoor,Public,,"101 MACDONALD RD, OAK BLUFF, MB"
2267,St. Adolphe Arena & Pioneer Hall,Ice,Single surface,Indoor,Public,1,"345 ST. ADOLPHE RD, ST. ADOLPHE, MB."
2269,St. Adolphe Curling Club,Ice,Curling,Indoor,Public,1,
2270,TransCanada Centre,Leisure / Community Centres,General,Indoor,Public,1,"1 RIVARD ST., ILE-DES-CHENES, MB"
2271,Ile des Chenes Arena,Ice,Single surface,Indoor,Public,1,"630 RIVARD ST., ILE-DES-CHENES, MB"
2272,Ste. Agathe Arena,Ice,Single surface,Indoor,Public,1,"276 STE. AGATHE ST., STE. AGATHE, MB"
2273,Ste. Agathe Culture & Community Club,Leisure / Community Centres,General,Indoor,Public,1,"304-183 PEMBINA TRAIL, STE. AGATHE, MB"
2274,Red River Valley Floods Interpretive Centre ,Leisure / Community Centres,General,Indoor,Public,1,"SIR GEORGE ETIENNE CARTIER PARK, STE. AGATHE, MB"
2275,Howden Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"1078 RED RIVER DRIVE, HOWDEN, MB"
2276,West St. Paul Curling Rink,Ice,Curling,Indoor,Public,1,"431 GRASSMERE RD., WEST ST.PAUL, MB"
2277,West St. Paul School,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,1,"3740 MAIN STREET, WINNIPEG, MB"
2278,Sunova Center,Leisure / Community Centres,General,Indoor,Public,1,"48 HOLLAND RD. WEST ST. PAUL, MB"
2282,Headingley Community Centre,Leisure / Community Centres,General,Indoor,Public,,"5353 PORTAGE AVE, HEADINGLEY, MB"
2283,South Hall – Phoenix Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"153 SEEKINGS, HEADINGLEY, MB"
2284,St. Francois Xavier Community Club,Leisure / Community Centres,General,Indoor,Public,,"983 MB-26, SAINT FRANCOIS XAVIER, MB"
2286,Belcourt Community Club,Leisure / Community Centres,General,Indoor,Public,,"55 BELCOURT RD, SAINT FRANCOIS XAVIER, MB"
2287,Little Mountain Sportsplex,Leisure / Community Centres,General,Indoor,Public,1,"64-128 KLIMPKE RD, ROSSER, MB"
2288,Rosser Community centre,Leisure / Community Centres,General,Indoor,Public,1,"038E MB-221, ROSSER, MB"
2289,Garson Centennial Community Hall,Leisure / Community Centres,General,Indoor,Public,,"11 THOMPSON AVENUE, GARSON MANITOBA, MB"
2290,Tyndall Curling Club,Ice,Curling,Indoor,Public,,"8 SECOND STREET, TYNDALL, MANITOBA, MB"
2291,Tyndall Village Community Centre,Leisure / Community Centres,General,Indoor,Public,,"69 PIERSON DRIVE, TYNDALL MANITOBA, MB"
2292,Allandale Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"190 BAYVIEW DRIVE, BARRIE, ON"
2298,Barrie Athletic Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,,"565 BRYNE DR, BARRIE, ON"
2301,Barrie Curling Club,Ice,Curling,Indoor,Public,1,"175 ESSA ROAD, BARRIE, ON"
2303,Barrie North Winter Tennis,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,1,"41A SPENCE AVE., BARRIE, ON"
2304,Barrie Sports Dome,Physical Recreation & Sports,Sport fields,Indoor,Public,1,"99 HANMER ST. E., BARRIE, ON"
2306,Dorian Parker Community Centre,Leisure / Community Centres,General,Indoor,Public,,"227 SUNNIDALE ROAD, BARRIE, ON"
2307,East Bayfield Community Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"80 LIVINGSTONE STREET EAST, BARRIE, ON"
2314,Eastview Arena,Leisure / Community Centres,General,Indoor,Public,,"453 GROVE ST. E. , BARRIE, ON"
2316,Georgian College Athletic & Fitness Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"1 GEORGIAN DR, BARRIE, ON"
2321,Holly Community Centre,Leisure / Community Centres,General,Indoor,Public,,"171 MAPLETON AVENUE, BARRIE, ON"
2329,Lampman Lane Community Centre,Leisure / Community Centres,General,Indoor,Public,,"59 LAMPMAN LANE, BARRIE, ON"
2331,Parkview Community Centre,Leisure / Community Centres,General,Indoor,Public,,"189 BLAKE STREET, BARRIE, ON"
2332,Sadlon Arena,Ice,Single surface,Indoor,Public,,"555 BAYVIEW DR, BARRIE, ON"
2333,Southshore Community Centre,Leisure / Community Centres,General,Indoor,Public,,"205 LAKESHORE DRIVE, BARRIE, ON"
2334,Alcona Glen Elementary School,Leisure / Community Centres,General,Indoor,Public,,"1310 INNISFIL BEACH ROAD, INNISFIL, ON"
2335,Churchill Community Centre,Leisure / Community Centres,General,Indoor,Public,,"6322 YONGE STREET, INNISFIL, ON"
2336,Innisfil Recreational Complex YMCA,Ice,2+ surfaces,Indoor,Public,,"7315 YONGE STREET, INNISFIL, ON"
2343,Innisfil Soccer Club,Physical Recreation & Sports,Sport fields,Both,Private,,"1000 INNISFIL BEACH ROAD, INNISFIL, ON"
2344,Innisfil Town Hall,Leisure / Community Centres,General,Indoor,Public,,"2101 INNISFIL BEACH ROAD, INNISFIL, ON"
2345,Knock Community Hall,Leisure / Community Centres,General,Indoor,Public,,"7756 10TH SIDEROAD, INNISFIL, ON"
2346,South Innisfil C.C. (Lefroy),Leisure / Community Centres,General,Indoor,Public,,"1354 KILLARNEY BEACH. RD., INNISFIL, ON"
2349,South Simcoe Ball Hockey Leagues,Physical Recreation & Sports,Sport fields,Indoor,Public,1,"1145 INNISFIL BEACH RD, INNISFIL, ON"
2350,Stroud Innisfil C.C.,Leisure / Community Centres,General,Indoor,Public,,"7883 YONGE ST, INNISFIL, ON"
2353,Anten Mills Community Centre,Leisure / Community Centres,General,Indoor,Public,,"3985 HORSESHOE VALLEY RD W, SPRINGWATER, ON"
2354,Elmvale Community Arena,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,"14 GEORGE ST, SPRINGWATER, ON"
2358,Elmvale Community Hall,Leisure / Community Centres,General,Indoor,Public,,"33 QUEEN ST W, SPRINGWATER, ON"
2359,Grenfel Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1989 SUNNIDALE ROAD, SPRINGWATER, ON"
2360,Heritage Park (Elmvale),Leisure / Community Centres,General,Indoor,Public,,"116 QUEEN STREET, ELMVALE, ON"
2361,Hillsdale Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4517 PENETANGUISHENE RD, SPRINGWATER, ON"
2362,Midhurst Community Centre,Leisure / Community Centres,General,Indoor,Public,,"74 DORAN ROAD, SPRINGWATER, ON"
2363,Minesing Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2347 RONALD RD, SPRINGWATER, ON"
2365,Belleville YMCA,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"433 VICTORIA AVENUE, BELLEVILLE, ON"
2373,Dr. McMullen Recreation Centre,Ice,Single surface,Indoor,Public,,"9 MARCH ST, QUINTE WEST, ON"
2375,Duncan McDonald Memorial Community Gardens,Leisure / Community Centres,General,Indoor,Public,,"8 COUCH CRESCENT, QUINTE WEST, ON"
2377,Foster Ward Community Centre,Leisure / Community Centres,General,Indoor,Public,,"75 ST PAUL ST, BELLEVILLE, ON"
2378,Gerry Masterson Community Centre,Leisure / Community Centres,General,Indoor,Public,,"516 HARMONY RD, BELLEVILLE, ON"
2380,Loyalist Sports Dome,Physical Recreation & Sports,Sport fields,Indoor,Public,1,"284 WALLBRIDGE LOYALIST RD, BELLEVILLE, ON"
2384,Memorial Arena,Ice,Single surface,Indoor,Public,1,"15 MARKET SQ, BELLEVILLE, ON"
2386,Quinte Curling Club,Ice,Curling,Indoor,Public,,"246 BRIDGE ST W, BELLEVILLE, ON"
