CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
,,Excellent Ice,https://excellentice.com/,"15000 54a Ave, Surrey, BC V3S 5X7",Ice,2+ surfaces,Indoor,Public,15000,54a Avenue,,Surrey,BC,V3S 5X7,,,,
,,Cloverdale Skating Club,https://www.cloverdaleskatingclub.com/,"6090 176 St, Surrey, BC V3S 4E7",Ice,Single surface,Indoor,Public,6090,176 Street,,Surrey,BC,V3S 4E7,,,,
,,North Surrey Sport & Ice Complex,https://www.surrey.ca/culture-recreation/23437.aspx,"10950 126a St, Surrey, BC V3W 7J9",Ice,2+ surfaces,Indoor,Public,10950,126a Street,,Surrey,BC,V3W 7J9,,,"3 ice sheets, fitness",
,,North Surrey Sport & Ice Complex,https://www.surrey.ca/culture-recreation/23437.aspx,"10950 126a St, Surrey, BC V3W 7J9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,10950,126a Street,,Surrey,BC,V3W 7J9,,,"3 ice sheets, fitness",
,,South Surrey Recreation and Arts Centre,https://www.surrey.ca/culture-recreation/1918.aspx,"14601 20 Ave, Surrey, BC V4A 9P5",Leisure / Community Centres,General,Indoor,Public,14601,20 Avenue,,Surrey,BC,V4A 9P5,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis, skate park",
,,South Surrey Recreation and Arts Centre,https://www.surrey.ca/culture-recreation/1918.aspx,"14601 20 Ave, Surrey, BC V4A 9P5",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,14601,20 Avenue,,Surrey,BC,V4A 9P5,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis, skate park",
,,South Surrey Recreation and Arts Centre,https://www.surrey.ca/culture-recreation/1918.aspx,"14601 20 Ave, Surrey, BC V4A 9P5",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,14601,20 Avenue,,Surrey,BC,V4A 9P5,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis, skate park",
,,Fraser Heights Recreation Centre,https://www.surrey.ca/culture-recreation/1928.aspx,"10588 160 St, Surrey, BC V4N 0A1",Leisure / Community Centres,General,Indoor,Public,10588,160 Street,,Surrey,BC,V4N 0A1,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis",
,,Fraser Heights Recreation Centre,https://www.surrey.ca/culture-recreation/1928.aspx,"10588 160 St, Surrey, BC V4N 0A1",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,10588,160 Street,,Surrey,BC,V4N 0A1,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis",
,,Fraser Heights Recreation Centre,https://www.surrey.ca/culture-recreation/1928.aspx,"10588 160 St, Surrey, BC V4N 0A1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,10588,160 Street,,Surrey,BC,V4N 0A1,,,"community centre with programs for children, youth and seniors, gym, fitness, tennis",
,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,"13458 107a Ave, Surrey, BC V3T 0G4",Leisure / Community Centres,General,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",
,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,"13458 107a Ave, Surrey, BC V3T 0G4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",
,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,"13458 107a Ave, Surrey, BC V3T 0G4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",
,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,"13458 107a Ave, Surrey, BC V3T 0G4",Physical Recreation & Sports,Skate parks,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",
,,Cloverdale Recreation Centre,https://www.surrey.ca/culture-recreation/8524.aspx,"6188 176 St, Surrey, BC V3S 4E7",Leisure / Community Centres,General,Indoor,Public,6188,176 Street,,Surrey,BC,V3S 4E7,,,"community centre with programs for children, youth and seniors, gym, fitness, ice arena",
,,Cloverdale Recreation Centre,https://www.surrey.ca/culture-recreation/8524.aspx,"6188 176 St, Surrey, BC V3S 4E7",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,6188,176 Street,,Surrey,BC,V3S 4E7,,,"community centre with programs for children, youth and seniors, gym, fitness, ice arena",
,,Cloverdale Recreation Centre,https://www.surrey.ca/culture-recreation/8524.aspx,"6188 176 St, Surrey, BC V3S 4E7",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,6188,176 Street,,Surrey,BC,V3S 4E7,,,"community centre with programs for children, youth and seniors, gym, fitness, ice arena",
,,Don Christian Recreation Centre,https://www.surrey.ca/culture-recreation/5035.aspx,"6220 184 St, Surrey, BC V3S 8E6",Leisure / Community Centres,General,Indoor,Public,6220,184 Street,,Surrey,BC,V3S 8E6,,,"community centre with programs for children, youth and seniors, gym, fitness, ice arena",
,,Fleetwood Community Centre,https://www.surrey.ca/culture-recreation/1858.aspx,"15996 84 Ave, Surrey, BC V4N 0W1",Leisure / Community Centres,General,Indoor,Public,15996,84 Avenue,,Surrey,BC,V4N 0W1,,,"community centre with programs for children, youth and seniors, gym, fitness",
,,Fleetwood Community Centre,https://www.surrey.ca/culture-recreation/1858.aspx,"15996 84 Ave, Surrey, BC V4N 0W1",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,15996,84 Avenue,,Surrey,BC,V4N 0W1,,,"community centre with programs for children, youth and seniors, gym, fitness",
,,Fleetwood Community Centre,https://www.surrey.ca/culture-recreation/1858.aspx,"15996 84 Ave, Surrey, BC V4N 0W1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,15996,84 Avenue,,Surrey,BC,V4N 0W1,,,"community centre with programs for children, youth and seniors, gym, fitness",
,,Kensington Prairie Community Centre,https://www.surrey.ca/culture-recreation/7794.aspx,"16824 32 Ave, Surrey, BC V3S 0L5",Leisure / Community Centres,Youth,Indoor,Public,16824,32 Avenue,,Surrey,BC,V3S 0L5,,,"community centre with programs for children, gym",
,,Kensington Prairie Community Centre,https://www.surrey.ca/culture-recreation/7794.aspx,"16824 32 Ave, Surrey, BC V3S 0L5",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,16824,32 Avenue,,Surrey,BC,V3S 0L5,,,"community centre with programs for children, gym",
,,Clayton Hall,https://www.surrey.ca/culture-recreation/13137.aspx,"18513 70 Ave, Surrey, BC  V4N 6B6",Leisure / Community Centres,General,Indoor,Public,18513,70 Avenue,,Surrey,BC,V4N 6B6,,,,
,,The Tennis Centre,http://surrey.thetenniscentre.ca/,"5891 144 St, Surrey, BC V3X 1A6",Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,5891,144 Street,,Surrey,BC,V3X 1A6,,,,
,,The Tennis Centre,http://surrey.thetenniscentre.ca/,"5891 144 St, Surrey, BC V3X 1A6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,
,,Sullivan's Community Hall,https://www.sullivanhall.ca/,"6306 152 St, Surrey, BC V3S 3K9",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Sunnyside Community Hall,https://www.surrey.ca/culture-recreation/6054.aspx,"1845 154 St, Surrey, BC V4A 5J8",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Newton Youth Hub,https://pcrs.ca/service-resource-centres/surrey-youth-resource-centre/,"13479 76 Ave, Surrey, BC V3W 2W3",Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,
,,Kennedy Community Hall,https://www.surrey.ca/culture-recreation/3335.aspx,"8870 120 St, Surrey, BC V3V 4B4",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,Burnaby,Canlan Ice Sports/Scotia Barn,https://www.icesports.com/scotiabarn/,"6501 Sprott St, Burnaby, BC V5B 3B8",Ice,2+ surfaces,Indoor,Private,6501,Sprott Street,,Burnaby ,BC,V5B 3B8,,,hockey/figure skating/soccer,
,,Canlan Ice Sports/Scotia Barn,https://www.icesports.com/scotiabarn/,"6501 Sprott St, Burnaby, BC V5B 3B8",Physical Recreation & Sports,Sport fields,Indoor,Private,6501,Sprott Street,,Burnaby ,BC,V5B 3B8,,,hockey/figure skating/soccer,
,,Kensington Park Rink,https://arenaguide.ca/arena/kensington-park-rink-kensington-complex/,"6159 Curtis St, Burnaby, BC V5B 4X7",Ice,Single surface,Indoor,Public,6159,Curtis Street,,Burnaby ,BC,V5B 4X7,,,,
,,Bill Copeland Sports Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Bill-Copeland-Sports-Centre.html,"3676 Kensington Ave, Burnaby, BC V5B 4Z6",Ice,2+ surfaces,Indoor,Private,3676,Kensington Avenue,,Burnaby ,BC,V5B 4Z6,,,arena ,
,,Burnaby Lake Arena,https://www.burnaby.ca/Things-To-Do/Be-Active-Programs/Rates-and-Schedules/Skating.html,"3676 Kensington Ave; Burnaby, British Columbia V5B 4Z6 ",Ice,Single surface,Indoor,Public,?,Kensington Avenue,,Burnaby ,BC,V5B 4Z6,,,,
,,C.G. Brown Memorial Pool,https://www.burnaby.ca/Things-To-Do/Community-Centres/CG-Brown-Pool.html,"3702 Kensington Ave, Burnaby, BC V5B 4Z6",Aquatics,25m pool with or without other pools,Indoor,Public,3702,Kensington Avenue,,Burnaby ,BC,V5B 4Z6,,,pool and fitness,
,,C.G. Brown Memorial Pool,https://www.burnaby.ca/Things-To-Do/Community-Centres/CG-Brown-Pool.html,"3702 Kensington Ave, Burnaby, BC V5B 4Z6",Aquatics,Leisure / wading pools,Indoor,Public,3702,Kensington Avenue,,Burnaby ,BC,V5B 4Z6,,,pool and fitness,
,,C.G. Brown Memorial Pool,https://www.burnaby.ca/Things-To-Do/Community-Centres/CG-Brown-Pool.html,"3702 Kensington Ave, Burnaby, BC V5B 4Z6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,3702,Kensington Avenue,,Burnaby ,BC,V5B 4Z6,,,pool and fitness,
,,Eileen Dailly Leisure Pool & Fitness Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Eileen-Dailly.html,"240 Willingdon Ave, Burnaby, BC V5C 5E9",Aquatics,25m pool with or without other pools,Indoor,Public,240,Willingdont Avenue,,Burnaby ,BC,V5C 5E9,,,"pool, fitness",
,,Eileen Dailly Leisure Pool & Fitness Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Eileen-Dailly.html,"240 Willingdon Ave, Burnaby, BC V5C 5E9",Aquatics,Leisure / wading pools,Indoor,Public,240,Willingdont Avenue,,Burnaby ,BC,V5C 5E9,,,"pool, fitness",
,,Eileen Dailly Leisure Pool & Fitness Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Eileen-Dailly.html,"240 Willingdon Ave, Burnaby, BC V5C 5E9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,240,Willingdont Avenue,,Burnaby ,BC,V5C 5E9,,,"pool, fitness",
,,Bonsor Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Bonsor-Recreation-Complex.html,"6550 Bonsor Ave, Burnaby, BC V5H 3G4",Aquatics,25m pool with or without other pools,Indoor,Public,6550,Bonsor Avenue,,Burnaby ,BC,V5H 3G4,,,"pool, gym, fitness, racquet courts, ",
,,Bonsor Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Bonsor-Recreation-Complex.html,"6550 Bonsor Ave, Burnaby, BC V5H 3G4",Aquatics,Leisure / wading pools,Indoor,Public,6550,Bonsor Avenue,,Burnaby ,BC,V5H 3G4,,,"pool, gym, fitness, racquet courts, ",
,,Bonsor Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Bonsor-Recreation-Complex.html,"6550 Bonsor Ave, Burnaby, BC V5H 3G4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,6550,Bonsor Avenue,,Burnaby ,BC,V5H 3G4,,,"pool, gym, fitness, racquet courts",
,,Bonsor Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Bonsor-Recreation-Complex.html,"6550 Bonsor Ave, Burnaby, BC V5H 3G4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,6550,Bonsor Avenue,,Burnaby ,BC,V5H 3G4,,,"pool, gym, fitness, racquet courts",
,,Bonsor Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Bonsor-Recreation-Complex.html,"6550 Bonsor Ave, Burnaby, BC V5H 3G4",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,6550,Bonsor Avenue,,Burnaby ,BC,V5H 3G4,,,"pool, gym, fitness, racquet courts",
,,Confederation Park,https://www.burnaby.ca/Things-To-Do/Explore-Outdoors/Parks/Confederation-Park.html,"4709 Pandora St, Burnaby, BC V5C 2C2",Leisure / Community Centres,Seniors,Indoor,Public,4709,Pandora Street,,Burnaby ,BC,V5C 2C2,,,"seniors centre, youth centre, indoor pool, spray pool and splash pad, sports fields, track, tennis, playground ",took address from Confederation Park Water Park
,,Confederation Park,https://www.burnaby.ca/Things-To-Do/Explore-Outdoors/Parks/Confederation-Park.html,"4709 Pandora St, Burnaby, BC V5C 2C2",Leisure / Community Centres,Youth,Indoor,Public,4709,Pandora Street,,Burnaby ,BC,V5C 2C2,,,"seniors centre, youth centre, indoor pool, spray pool and splash pad, sports fields, track, tennis, playground ",took address from Confederation Park Water Park
,,Confederation Park,https://www.burnaby.ca/Things-To-Do/Explore-Outdoors/Parks/Confederation-Park.html,"4709 Pandora St, Burnaby, BC V5C 2C2",Aquatics,25m pool with or without other pools,Indoor,Public,4709,Pandora Street,,Burnaby ,BC,V5C 2C2,,,"seniors centre, youth centre, indoor pool, spray pool and splash pad, sports fields, track, tennis, playground ",took address from Confederation Park Water Park
,,Confederation Park,https://www.burnaby.ca/Things-To-Do/Explore-Outdoors/Parks/Confederation-Park.html,"4709 Pandora St, Burnaby, BC V5C 2C2",Aquatics,Spray parks / splash pads,Both,Public,4709,Pandora Street,,Burnaby ,BC,V5C 2C2,,,"seniors centre, youth centre, indoor pool, spray pool and splash pad, sports fields, track, tennis, playground ",took address from Confederation Park Water Park
,,Cameron Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Cameron-Recreation-Complex.html,"9523 Cameron St, Burnaby, BC V3J 1L6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,9523,Cameron Street,,Burnaby ,BC,V3J 1L6,,,"fitness, racquetball, tennis",
,,Cameron Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Cameron-Recreation-Complex.html,"9523 Cameron St, Burnaby, BC V3J 1L6",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,9523,Cameron Street,,Burnaby ,BC,V3J 1L6,,,"fitness, racquetball, tennis",
,,Cameron Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Cameron-Recreation-Complex.html,"9523 Cameron St, Burnaby, BC V3J 1L6",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,9523,Cameron Street,,Burnaby ,BC,V3J 1L6,,,"fitness, racquetball, tennis",
,,Cameron Recreation Complex,https://www.burnaby.ca/Things-To-Do/Community-Centres/Cameron-Recreation-Complex.html,,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,
,,BCIT Recreation Services,https://www.bcit.ca/recreation/contact.shtml,"3700, Willingdon Ave, Burnaby, BC V5G 3H2",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,3700,Willingdon Avenue,,Burnaby ,BC,V5G 3H2,,,"fitness, gym, racquet courts, sports field",
,,BCIT Recreation Services,https://www.bcit.ca/recreation/contact.shtml,"3700, Willingdon Ave, Burnaby, BC V5G 3H2",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,3700,Willingdon Avenue,,Burnaby ,BC,V5G 3H2,,,"fitness, gym, racquet courts, sports field",
,,BCIT Recreation Services,https://www.bcit.ca/recreation/contact.shtml,"3700, Willingdon Ave, Burnaby, BC V5G 3H2",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,3700,Willingdon Avenue,,Burnaby ,BC,V5G 3H2,,,"fitness, gym, racquet courts, sports field",
,,Burnaby Tennis Club,https://www.burnabytennis.ca/burnaby/home/readPage.do?id=141&history=clear,"3890 Kensington Ave, Burnaby, BC V5B 4V8",Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Both,3890,Kensington Avenue,,Burnaby ,BC,V5B 4V8,,,,
,,Wesburn Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Other-Centres/Wesburn.html,"4781 Parkwood Ave, Burnaby, BC V5G 3C6",Leisure / Community Centres,General,Indoor,Public,4781,Parkwood Avenue ,,Burnaby ,BC,V5G 3C6,,,,
,,Willingdon Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Willingdon-Centre.html,"1491 Carleton Ave, Burnaby, BC V5C 4V5",Leisure / Community Centres,General,Indoor,Public,1491,Carleton Avenue,,Burnaby ,BC,V5C 4V5,,,"community centre, fitness",
,,Willingdon Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Willingdon-Centre.html,"1491 Carleton Ave, Burnaby, BC V5C 4V5",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1491,Carleton Avenue,,Burnaby ,BC,V5C 4V5,,,"community centre, fitness",
,,Willingdon Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Willingdon-Centre.html,"1491 Carleton Ave, Burnaby, BC V5C 4V5",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,
,,Confederation Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Seniors-Centres/Confederation.html,"4585 Albert St, Burnaby, BC V5C 2G6",Leisure / Community Centres,Seniors,Indoor,Public,4585,Albert Street,,Burnaby ,BC,V5C 2G6,,,"seniors' centre, fitness",
,,Confederation Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Seniors-Centres/Confederation.html,"4585 Albert St, Burnaby, BC V5C 2G6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,4585,Albert Street,,Burnaby ,BC,V5C 2G6,,,"seniors' centre, fitness",
,,Brentwood Community Resource Centre,https://www.mosaicbc.org/venue/brentwood-community-resource-centre/,"2055 Rosser Ave, Burnaby, BC V5C 5Y1",Leisure / Community Centres,General,Indoor,Public,2055,Rosser Avenue,,Burnaby ,BC,V5C 5Y1,,,,
,,Edmonds Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Edmonds-Community-Centre.html,"7433 Edmonds St, Burnaby, BC V3N 1B1",Leisure / Community Centres,General,Indoor,Public,7433,Edmonds Street,,Burnaby ,BC,V3N 1B1,,,"community centre, pool, fitness, gyms, indoor playground",
,,Edmonds Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Edmonds-Community-Centre.html,"7433 Edmonds St, Burnaby, BC V3N 1B1",Aquatics,25m pool with or without other pools,Indoor,Public,7433,Edmonds Street,,Burnaby ,BC,V3N 1B1,,,"community centre, pool, fitness, gyms, indoor playground",
,,Edmonds Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Edmonds-Community-Centre.html,"7433 Edmonds St, Burnaby, BC V3N 1B1",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,
,,Edmonds Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Edmonds-Community-Centre.html,"7433 Edmonds St, Burnaby, BC V3N 1B1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,7433,Edmonds Street,,Burnaby ,BC,V3N 1B1,,,"community centre, pool, fitness, gyms, indoor playground",
,,Edmonds Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Edmonds-Community-Centre.html,"7433 Edmonds St, Burnaby, BC V3N 1B1",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,7433,Edmonds Street,,Burnaby ,BC,V3N 1B1,,,"community centre, pool, fitness, gyms, indoor playground",
,,Edmonds Community Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Edmonds-Community-Centre.html,"7433 Edmonds St, Burnaby, BC V3N 1B1",Physical Recreation & Sports,Playgrounds ,Indoor,Public,7433,Edmonds Street,,Burnaby ,BC,V3N 1B1,,,"community centre, pool, fitness, gyms, indoor playground",
,,Bonsor 55+ Seniors Centre,https://bonsor55.plussociety.org/website/,"6533 Nelson Ave, Burnaby, BC V5H 0C2",Leisure / Community Centres,Seniors,Indoor,Public,6533,Nelson Avenue,,Burnaby ,BC,V5H 0C2,,,,
,,Burnaby Community Services,https://www.bbyservices.ca/index.php,"2055 Rosser Ave, Burnaby, BC V5C 0H1",Leisure / Community Centres,General,Indoor,Public,2055,Rosser Avenue,,Burnaby ,BC,V5C 0H1,,,,
,,Charles Rummel Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Other-Centres/Charles-Rummel.html,"3630 Lozells Ave, Burnaby, BC V5A 2Y8",Leisure / Community Centres,General,Indoor,Public,3630,Lozells Avenue,,Burnaby ,BC,V5A 2Y8,,,,
,,Scandinavian Community Centre,https://scancentre.org/contact-us/,"6540 Thomas St, Burnaby, BC V5B 4P9",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Burnaby Winter Club,https://www.burnabywinterclub.com/,"4990 Canada Way, Burnaby, BC V5G 1M4",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,
,,Dynamo Swim Club,https://www.teamunify.com/Home.jsp?team=bcdsc,"3702 Kensington Ave, Burnaby, BC V5B 4Z6",Aquatics,25m pool with or without other pools,Indoor,Private,,,,,,,,,,
,,Creekside Youth Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Youth-Centres/Creekside.html,"2720 Beaverbrook Crescent, Burnaby, BC V3J 7K3",Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,
,,Creekside Youth Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Youth-Centres/Creekside.html,"2720 Beaverbrook Crescent, Burnaby, BC V3J 7K3",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,
,,Creekside Youth Centre,https://www.burnaby.ca/Things-To-Do/Community-Centres/Youth-Centres/Creekside.html,"2720 Beaverbrook Crescent, Burnaby, BC V3J 7K3",Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,
,,Greentree Community Centre,https://greentreecommunitycenter.com/,"4295 Garden Grove Dr, Burnaby, BC V5G 4G8",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,"community centre, pool, fitness",
,,Greentree Community Centre,https://greentreecommunitycenter.com/,"4295 Garden Grove Dr, Burnaby, BC V5G 4G8",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,"community centre, pool, fitness",
,,Greentree Community Centre,https://greentreecommunitycenter.com/,"4295 Garden Grove Dr, Burnaby, BC V5G 4G8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,"community centre, pool, fitness",
,,Vancouver Madinah,https://www.vancouvermadinah.ca/,"5757 Beresford St, Burnaby, BC V5J 1J9",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,South Burnaby Neighbourhood House,https://burnabynh.ca/,"4460 Beresford St, Burnaby, BC V5H 0B8",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,Richmond,Richmond Ice Centre,https://www.richmond.ca/parksrec/arenas/about.htm,"14140 Triangle Rd, Richmond, BC V6W 1B1",Ice,2+ surfaces,Indoor,Public,14140,Triangle Road,,Richmond,BC,V6W 1B1,,,,
,,Richmond Curling Centre,http://www.richmondcurling.com/,"5540 Hollybridge Way, Richmond, BC V7C 4N3",Ice,Curling,Indoor,Private,5540,Hollybridge Way,,Richmond,BC,V7C 4N3,,,,
,,South Arm Community Centre,https://www.richmond.ca/parksrec/centres/southarmcentre/southarm.htm,"8880 Williams Rd, Richmond, BC V7A 1G6",Leisure / Community Centres,General,Both,Public,8880,Williams Road,,Richmond,BC,V7A 1G6,,,"fitness, gym, seniors centre, sports fields, tennis, playground",
,,South Arm Community Centre,https://www.richmond.ca/parksrec/centres/southarmcentre/southarm.htm,"8880 Williams Rd, Richmond, BC V7A 1G6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,8880,Williams Road,,Richmond,BC,V7A 1G6,,,"fitness, gym, seniors centre, sports fields, tennis, playground",
,,South Arm Community Centre,https://www.richmond.ca/parksrec/centres/southarmcentre/southarm.htm,"8880 Williams Rd, Richmond, BC V7A 1G6",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,8880,Williams Road,,Richmond,BC,V7A 1G6,,,"fitness, gym, seniors centre, sports fields, tennis, playground",
,,Steveston Community Centre,https://www.richmond.ca/parksrec/centres/stevestoncentre/steveston.htm,"4111 Moncton Street, Richmond, BC V7E 3A8",Leisure / Community Centres,General,Both,Public,4111,Moncton Street,,Richmond,BC,V7E 3A8,,,"fitness, gym, racquet courts, indoor and outdoor tennis courts, sports fields, playground, water park",
,,Steveston Community Centre,https://www.richmond.ca/parksrec/centres/stevestoncentre/steveston.htm,"4111 Moncton Street, Richmond, BC V7E 3A8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,4111,Moncton Street,,Richmond,BC,V7E 3A8,,,"fitness, gym, racquet courts, indoor and outdoor tennis courts, sports fields, playground, water park",
,,Steveston Community Centre,https://www.richmond.ca/parksrec/centres/stevestoncentre/steveston.htm,"4111 Moncton Street, Richmond, BC V7E 3A8",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,4111,Moncton Street,,Richmond,BC,V7E 3A8,,,"fitness, gym, racquet courts, indoor and outdoor tennis courts, sports fields, playground, water park",
,,Steveston Community Centre,https://www.richmond.ca/parksrec/centres/stevestoncentre/steveston.htm,"4111 Moncton Street, Richmond, BC V7E 3A8",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,4111,Moncton Street,,Richmond,BC,V7E 3A8,,,"fitness, gym, racquet courts, indoor and outdoor tennis courts, sports fields, playground, water park",
,,Steveston Community Centre,https://www.richmond.ca/parksrec/centres/stevestoncentre/steveston.htm,"4111 Moncton Street, Richmond, BC V7E 3A8",Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,4111,Moncton Street,,Richmond,BC,V7E 3A8,,,"fitness, gym, racquet courts, indoor and outdoor tennis courts, sports fields, playground, water park",
,,City Centre Community Centre,https://www.richmond.ca/parksrec/centres/city/cityctr.htm,"5900 Minoru Blvd, Richmond, BC V6X 0L9",Leisure / Community Centres,General,Indoor,Public,5900,Minoru Boulevard,105,Richmond,BC,V6X 0L9,,,"community centre, fitness",
,,City Centre Community Centre,https://www.richmond.ca/parksrec/centres/city/cityctr.htm,"5900 Minoru Blvd, Richmond, BC V6X 0L9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,5900,Minoru Boulevard,105,Richmond,BC,V6X 0L9,,,"community centre, fitness",
,,Lang Centre,https://www.richmond.ca/parksrec/centres/city/cityctr.htm#Lang+Centre,"8279 Saba Rd Suite 140, Richmond, BC V6Y 4B6",Leisure / Community Centres,General,Indoor,Public,8279,Saba Road,140,Richmond,BC,V6Y 4B6,,,,
