CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
,,Hastings Community Centre,https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,"3096 E Hastings St, Vancouver, BC V5K 2A3",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,3096,E Hastings Street,,Vancouver,BC,V5K 2A3,,,"community centre, gym, fitness, racquetball, tennis, playground, water park",
,,Hastings Community Centre,https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,"3096 E Hastings St, Vancouver, BC V5K 2A3",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,3096,E Hastings Street,,Vancouver,BC,V5K 2A3,,,"community centre, gym, fitness, racquetball, tennis, playground, water park",
,,Gathering Place Community Centre,https://vancouver.ca/parks-recreation-culture/gathering-place-community-centre.aspx#redirect,"609 Helmcken St, Vancouver, BC V6B 5R1",Leisure / Community Centres,General,Indoor,Public,609,Helmcken Street,,Vancouver,BC,V6B 5R1,,,"community centre serving vulnerable populations, fitness",
,,Gathering Place Community Centre,https://vancouver.ca/parks-recreation-culture/gathering-place-community-centre.aspx#redirect,"609 Helmcken St, Vancouver, BC V6B 5R1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,609,Helmcken Street,,Vancouver,BC,V6B 5R1,,,"community centre serving vulnerable populations, fitness",
,,Thunderbird Community Centre,https://www.thunderbirdcc.ca/,"2311 Cassiar St, Vancouver, BC V5M 3X3",Leisure / Community Centres,General,Indoor,Public,2311,Cassiar Street,,Vancouver,BC,V5M 3X3,,,"community centre with programs for children, youth, adult and 'older adult', fitness, gym",
,,Thunderbird Community Centre,https://www.thunderbirdcc.ca/,"2311 Cassiar St, Vancouver, BC V5M 3X3",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,2311,Cassiar Street,,Vancouver,BC,V5M 3X3,,,"community centre with programs for children, youth, adult and 'older adult', fitness, gym",
,,Thunderbird Community Centre,https://www.thunderbirdcc.ca/,"2311 Cassiar St, Vancouver, BC V5M 3X3",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,2311,Cassiar Street,,Vancouver,BC,V5M 3X3,,,"community centre with programs for children, youth, adult and 'older adult', fitness, gym",
,,Kerrisdale Community Centre,https://vancouver.ca/parks-recreation-culture/kerrisdale-community-centre.aspx,"5851 West Blvd, Vancouver, BC V6M 3W9",Leisure / Community Centres,General,Both,Public,5851,West Boulevard,,Vancouver,BC,V6M 3W9,,,"community centre with youth and seniors centre, playground, gym, fitness, pool",
,,Kerrisdale Community Centre,https://vancouver.ca/parks-recreation-culture/kerrisdale-community-centre.aspx,"5851 West Blvd, Vancouver, BC V6M 3W9",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,5851,West Boulevard,,Vancouver,BC,V6M 3W9,,,"community centre with youth and seniors centre, playground, gym, fitness, pool",
,,Kerrisdale Community Centre,https://vancouver.ca/parks-recreation-culture/kerrisdale-community-centre.aspx,"5851 West Blvd, Vancouver, BC V6M 3W9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,5851,West Boulevard,,Vancouver,BC,V6M 3W9,,,"community centre with youth and seniors centre, playground, gym, fitness, pool",
