CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,
,Winnipeg,Central Community Centre,https://www.gcwcc.mb.ca/site/assets/files/3133/central.pdf,"200 Isabel St, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Deer Lodge Community Centre,http://www.deerlodgecommunityclub.ca/contact/,"323 Bruce Ave East, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Norberry-Glenlee Community Centre - Glenlee site,http://www.norberry-glenlee.ca/Contact.aspx,"176 Worthington Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Norberry-Glenlee Community Centre - Glenlee site,http://www.norberry-glenlee.ca/Contact.aspx,"176 Worthington Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Norberry-Glenlee Community Centre - Glenlee site,http://www.norberry-glenlee.ca/Contact.aspx,"176 Worthington Ave, Winnipeg, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,East End Community Centre,https://eastendarena.ca/,"517 Pandora Ave E, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,East End Community Centre,https://eastendarena.ca/,"517 Pandora Ave E, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,East End Community Centre,https://eastendarena.ca/,"517 Pandora Ave E, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,East End Community Centre,https://eastendarena.ca/,"517 Pandora Ave E, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,"1144 Kingsford Pl, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
