CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,
Winnipeg (MN),Winnipeg,Bonivital,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,"1215 Archibald Street, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bonivital,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,"1215 Archibald Street, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,
,Winnipeg,Cindy Klassen Recreation Complex,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/cindy_klassen.stm,"999 Sargent Avenue, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Eldon Ross,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,"1887 Pacific Avenue West, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Eldon Ross,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,"1887 Pacific Avenue West, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Elmwood Kildonans ,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/elmwood_kildonan.stm,"909 Concordia Avenue, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Elmwood Kildonans,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/elmwood_kildonan.stm,"909 Concordia Avenue, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kinsmen Sherbrook (formerly Sherbrook Pool),https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sherbrook.stm,"381 Sherbrook Street, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kinsmen Sherbrook (formerly Sherbrook Pool),https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sherbrook.stm,"381 Sherbrook Street, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Margaret Grant,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/margaret_grant.stm,"685 Dalhousie Drive, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,"25 Poseidon Bay, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,"25 Poseidon Bay, MB",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,"25 Poseidon Bay, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,"25 Poseidon Bay, MB",Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,
,Winnipeg,Seven Oaks,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/seven_oaks.stm,"444 Adsum Drive, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,"90 Sinclair Street, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,"90 Sinclair Street, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sergeant Tommy Prince Place,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/sergeant_tommy_prince_place.stm,"90 Sinclair Street, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Assiniboia Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_assiniboia.stm,"644 Parkdale Street, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Assiniboia Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_assiniboia.stm,"644 Parkdale Street, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Assiniboia Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_assiniboia.stm,"644 Parkdale Street, MB",Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Assiniboia Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_assiniboia.stm,"644 Parkdale Street, MB",Aquatics,Spray parks / splash pads,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Assiniboia Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_assiniboia.stm,"644 Parkdale Street, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Civic Centre,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_civic.stm,"2055 Ness Avenue, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. James Civic Centre,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_civic.stm,"2055 Ness Avenue, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Transcona Kinsmen Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,"1101 Wabasha Street, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Winnipeg,Transcona Kinsmen Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,"1101 Wabasha Street, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bourkevale Lawn Bowling,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/bourkevale.stm,"90 Ferry Road, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Deer Lodge Tennis Club,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/deer_lodge.stm,"2050 Ness Avenue, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sam Southern Arena,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/fortrougeleisurecentre.stm,"625 Osborne Street, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Fort Rouge Leisure Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/fortrougeleisurecentre.stm,"625 Osborne Street, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
