CMANAME,CSDNAME,Facility name,URL,Full Address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments
,Montréal,Piscine du Centre Pere Sablon,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","4265 Avenue Papineau, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Centre Pere Sablon,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","4265 Avenue Papineau, Montreal, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du YMCA du Parc,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","5550 Avenue du Parc, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif de Notre-Dame-de-Grace,https://www.loisirssportifscdn-ndg.com/en/notre-dame-de-grace-sports-center/,"6445 Monkland Ave, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif de Notre-Dame-de-Grace,https://www.loisirssportifscdn-ndg.com/en/notre-dame-de-grace-sports-center/,"6445 Monkland Ave, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif de Notre-Dame-de-Grace,https://www.loisirssportifscdn-ndg.com/en/notre-dame-de-grace-sports-center/,"6445 Monkland Ave, Montreal, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif de Notre-Dame-de-Grace,https://www.loisirssportifscdn-ndg.com/en/notre-dame-de-grace-sports-center/,"6445 Monkland Ave, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif de Notre-Dame-de-Grace,https://www.loisirssportifscdn-ndg.com/en/notre-dame-de-grace-sports-center/,"6445 Monkland Ave, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Notre-Dame-de-Grace,https://www.loisirssportifscdn-ndg.com/en/notre-dame-de-grace-pool-decarie/,"3770 Decarie Blvd, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Cote-des-Neiges,https://www.loisirssportifscdn-ndg.com/en/cote-des-neiges-sports-center/,"4880 Ave Van Horne, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Cote-des-Neiges,https://www.loisirssportifscdn-ndg.com/en/cote-des-neiges-sports-center/,"4880 Ave Van Horne, Montreal, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Cote-des-Neiges,https://www.loisirssportifscdn-ndg.com/en/cote-des-neiges-sports-center/,"4880 Ave Van Horne, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Cote-des-Neiges,https://www.loisirssportifscdn-ndg.com/en/cote-des-neiges-sports-center/,"4880 Ave Van Horne, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Cote-des-Neiges,https://www.loisirssportifscdn-ndg.com/en/cote-des-neiges-sports-center/,"4880 Ave Van Horne, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Saint-Roch,http://piscinesaint-roch.com/,"400 Avenue Ball, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Aquatic Complex Saint-Leonard,https://www.complexeaquatiquesaint-leonard.ca/,"5115 Rue des Galets, Saint-Leonard, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Aquatic Complex Saint-Leonard,https://www.complexeaquatiquesaint-leonard.ca/,"5115 Rue des Galets, Saint-Leonard, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Beurling Academy: Verdun Indoor Swimming Pool,http://monverdunamoi.ca/en/directory/beurling-academy-verdun-indoor-swimming-pool-2/,"6100 Boulevard Champlain, Verdun, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Saint-Henri,https://montreal.ca/lieux/piscine-saint-henri,"4055 St Jacques St, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Joseph-Charbonneau,https://montreal.ca/lieux/piscine-joseph-charbonneau,"8200 Rue Rousselot, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Saint-Charles,https://montreal.ca/lieux/piscine-saint-charles,"1055 Rue d'Hibernia, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Pere-Marquette Pool,https://www.centreperemarquette.ca/piscine-cours-de-natation-montreal/,"1600 Rue de Drucourt, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Pere-Marquette Pool,https://www.centreperemarquette.ca/piscine-cours-de-natation-montreal/,"1600 Rue de Drucourt, Montreal, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Etienne Desmarteau,https://ville.montreal.qc.ca/portal/page?_pageid=7357%2C76009613&_dad=portal&_schema=PORTAL,"3430 Rue de Bellechasse, Montreal, QC",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Étienne-Desmarteau,https://montreal.ca/en/places/centre-etienne-desmarteau,"3430 Rue de Bellechasse, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Étienne-Desmarteau,https://montreal.ca/en/places/centre-etienne-desmarteau,"3430 Rue de Bellechasse, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Étienne-Desmarteau,https://montreal.ca/en/places/centre-etienne-desmarteau,"3430 Rue de Bellechasse, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine John-F-Kennedy,https://montreal.ca/lieux/piscine-john-f-kennedy,"3030 Rue Villeray, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine John-F-Kennedy,https://montreal.ca/lieux/piscine-john-f-kennedy,"3030 Rue Villeray, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Patro Le Prevost,https://montreal.ca/lieux?dc_coverage.boroughs.code=VSMPE&mtl_content.lieux.category.code=PISC&orderBy=dc_title,"7355 Avenue Christophe-Colomb, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Rene-Goupil,https://montreal.ca/lieux/piscine-rene-goupil,"4250 Rue du Parc-Rene-Goupil, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Bain St-Denis,http://www1.ville.montreal.qc.ca/banque311/content/rosemont%E2%80%93la-petite-patrie-%E2%80%93-piscines-int%C3%A9rieures,"7075 St Hubert St, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,"2275 St Joseph Blvd E, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,"2275 St Joseph Blvd E, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,"2275 St Joseph Blvd E, Montreal, QC",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,
,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,"2275 St Joseph Blvd E, Montreal, QC",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/index,"2275 St Joseph Blvd E, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre du Plateau,http://centreduplateau.qc.ca/fr/gymnase,"2275 St Joseph Blvd E, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Gadbois,https://montreal.ca/lieux/piscine-du-complexe-recreatif-gadbois,"5485 Chemin de la Cote Saint Paul, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Sylvan Adams YM-YWHA,https://www.ymywha.com/,"5400 Westbury Ave, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Sylvan Adams YM-YWHA,https://www.ymywha.com/,"5400 Westbury Ave, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Sylvan Adams YM-YWHA,https://www.ymywha.com/,"5400 Westbury Ave, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Sylvan Adams YM-YWHA,https://www.ymywha.com/,"5400 Westbury Ave, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Sylvan Adams YM-YWHA,https://www.ymywha.com/,"5400 Westbury Ave, Montreal, QC",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
