Facility_ID,Facility_Name,STC Standard Civic Address
3921,North End Community Centre,"954 HURON AVE. THUNDER BAY, ON"
3923,North McIntyre Community Centre,"2051 GOVERNMENT RD. THUNDER BAY, ON"
3924,Oliver Road Community Centre ,"563 OLIVER RD, THUNDER BAY, ON"
3925,South Neebing Community Centre,"1841 MOUNTAIN RD., RR 4, THUNDER BAY, ON"
3926,Vale Community Centre ,"420 VALE AVE. THUNDER BAY, ON"
3927,Vickers Heights Community Centre ,"1695 BROADWAY AVE, THUNDER BAY, ON"
3928,Volunteer Pool Community Centre,"180 MARTHA ST., THUNDER BAY, ON"
3930,West Arthur Community Centre,"1914 WEST ARTHUR ST., THUNDER BAY, ON"
3931,West Thunder Community Centre,"915 SOUTH EDWARD ST., THUNDER BAY, ON"
3934,Lakehead University Hangar,"955 OLIVER RD, THUNDER BAY, ON"
3939,Kinsmen Youth Centre,"609 JAMES ST NORTH, THUNDER BAY, ON"
3940,Thunder Bay 55 Plus Centre ,"700 RIVER ST. THUNDER BAY, ON"
3941,Churchill Pool,"130 CHURCHILL DR W, THUNDER BAY, ON"
3944,Maple Tops,"24 COURT ST S, THUNDER BAY, ON"
3945,Port Arthur Curling Club,"214 EGAN ST, THUNDER BAY, ON"
3946,Fort William Curling & Athletic Club,"218 VICKERS ST N, THUNDER BAY, ON"
3947,NorWest Arena,"40 HIGHWAY 588, KAKABEKA FALLS, ON"
3950,Murillo Hall,"4569 OLIVER ROAD, MURILLO, ON"
3951,Rosslyn Hall,"3405 ROSSLYN ROAD, ROSSLYN, ON"
3953,Balmy Beach Park,"1 BEECH AVE., TORONTO, ON"
3954,Gus Ryder Pool and Health Club,"1 FAUSTINA DR, TORONTO, ON"
3956,Monarch Park Stadium,"1 PARKMOUNT RD, TORONTO, ON"
3959,Kingsview Village Community School,"1 YORK RD, TORONTO, ON"
3960,ONEseven Sports Performance,"12-10 DANSK COURT, TORONTO, ON"
3961,Elmbank Community Centre,"10 RAMPART RD, TORONTO, ON"
3964,Bloordale Community School,"10 TOLEDO RD, TORONTO, ON"
3965,Bain Community Centre,"100 BAIN AVENUE, TORONTO, ON"
3966,Weston Collegiate Institute,"100 PINE ST M9N 2Y9, TORONTO, ON"
3967,Athletic Centre Utoronto,"55 HARBORD ST, TORONTO, ON"
3968,Toronto Soccerplex,"101 RAILSIDE RD, TORONTO, ON"
3969,Community Matters Toronto,"102-260 WELLESLEY ST E, TORONTO, ON"
3971,Don Mills Civitan Arena,"1030 DON MILLS RD, TORONTO, ON"
3972,New Toronto Seniors' Centre,"105 FOURTH ST, TORONTO, ON"
3974,Alexandra Park Community Centre,"105 GRANGE CT, TORONTO, ON"
3975,Norseman Community School and Pool,"105 NORSEMAN ST., TORONTO, ON"
3977,Leaside Memorial Gardens Arena,"1073 MILLWOOD RD, TORONTO, ON"
3980,Leaside Memorial Gardens Swimming Pool - Indoor Pool,"1073 MILLWOOD RD, TORONTO, ON"
3981,Leaside Curling Club,"1075 MILLWOOD RD, TORONTO, ON"
3983,East York Community Centre,"1081 1/2 PAPE AVE, TORONTO, ON"
3987,Burrows Hall Community Centre,"1081 PROGRESS AVE, TORONTO, ON"
3988,Trace Manes Park Community Centre,"110 RUMSEY RD, TORONTO, ON"
3990,La Liga Indoor Soccer,"1107 FINCH AVE W, TORONTO, ON"
3992,Casa Do Alentejo Community Centre,"1130 DUPONT ST, TORONTO, ON"
3993,Archers Arena Toronto,"3-1140 SHEPPARD AVE W, TORONTO, ON"
3994,York Recreation Centre,"115 BLACK CREEK DR, TORONTO, ON"
4000,Wexford Collegiate Institute,"1176 PHARMACY AVE, TORONTO, ON"
4001,Banbury Community Centre,"120 BANBURY RD , TORONTO, ON"
4002,Berner Trail Community Centre,"120 BERNER TRAIL, TORONTO, ON"
4003,Oasis Dufferin Community Centre,"1219 DUFFERIN ST, TORONTO, ON"
4004,Wallace Emerson Community Centre,"1260 DUFFERIN ST, TORONTO, ON"
4008,Extreme Toronto Sports Club,"90 SHEPPARD AV, TORONTO, ON"
4009,Birkdale Community Centre,"1299 ELLESMERE RD, TORONTO, ON"
4010,John G. Althouse Community School,"130 LLOYD MANOR RD, TORONTO, ON"
4011,Royal Canadian Curling Club,"131 BROADVIEW AVE, TORONTO, ON"
4012,Edithvale Community Centre,"131 FINCH AVE W, TORONTO, ON"
4016,Kababayan Multicultural Centre,"1313 QUEEN ST W, TORONTO, ON"
4020,Davenport 1347,"1347 DAVENPORT RD, TORONTO, ON"
4021,Joseph J. Piccininni Community Centre,"1369 ST CLAIR AVE W, TORONTO, ON"
4025,O'Connor Community Centre,"1386 VICTORIA PARK AVE, TORONTO, ON"
4028,Balmy Beach Community Recreation Centre,"14 PINE AVE, TORONTO, ON"
4031,Antibes Community Centre,"140 ANTIBES DR, TORONTO, ON"
4035,Commander Recreation Centre,"140 COMMANDER BLVD, TORONTO, ON"
4037,Moss Park Arena,"140 SHERBOURNE ST, TORONTO, ON"
4038,Holy Family Community Centre,"141 CLOSE AVE, TORONTO, ON"
4040,Albion Pool and Health Club,"1485 ALBION RD, TORONTO, ON"
4042,Parkdale Activity-Recreation Centre,"1499 QUEEN ST W, TORONTO, ON"
4047,St. Marcellus Community School,"15 DENFIELD ST, TORONTO, ON"
4048,Pine Point Arena,"15 GRIERSON RD, TORONTO, ON"
4049,Beach Blast,"15 LESWYN RD, TORONTO, ON"
4050,Harrison Pool,"15 STEPHANIE ST, TORONTO, ON"
4051,North York Don Mills Pool,"15 THE DONWAY E, TORONTO, ON"
4052,Swansea Community Recreation Centre,"15 WALLER AVE, TORONTO, ON"
4057,Victoria Park Collegiate Institute,"15 WALLINGFORD RD, TORONTO, ON"
4058,Willowdale Lawn Bowling Club,"150 BEECROFT RD, TORONTO, ON"
4059,Scarborough Civic Centre,"150 BOROUGH DR., TORONTO, ON"
4061,Flemingdon Community Centre and Playground Paradise,"150 GRENOBLE DR, TORONTO, ON"
4063,Kids Fun City,"150 LESMILL RD, TORONTO, ON"
4064,John Innes Community Recreation Centre,"150 SHERBOURNE ST, TORONTO, ON"
4068,Lester B. Pearson Collegiate Institute,"150 TAPSCOTT RD, TORONTO, ON"
4069,Amazon Indoor Playground,"1500 ROYAL YORK RD, TORONTO, ON"
4070,Albion Arena,"1501 ALBION RD , TORONTO, ON"
4071,Amesbury Community Centre,"1507 LAWRENCE AVE W, TORONTO, ON"
4073,Trinity Community Recreation Centre,"155 CRAWFORD ST, TORONTO, ON"
4078,Amesbury Sports Complex,"155 CULFORD RD, TORONTO, ON"
4080,Albert Campbell Collegiate Institute,"1550 SANDHURST CIR, TORONTO, ON"
4082,North Toronto Memorial Community Centre,"200 EGLINTON AVE W, TORONTO, ON"
4083,Central Eglinton Community Centre,"160 EGLINTON AVE E, TORONTO, ON"
4084,Baycrest Arena,"160 NEPTUNE DR, TORONTO, ON"
4085,Downsview Arena,"1633 WILSON AVE, TORONTO, ON"
4086,Angela James Arena,"165 GRENOBLE DR, TORONTO, ON"
4087,Viewmount Community Centre,"169 VIEWMOUNT AVE, TORONTO, ON"
4088,Seneca Village Community Centre,"1700 FINCH AVE E, TORONTO, ON"
4090,Pelmo Park Community Centre,"171 PELLATT AVE, TORONTO, ON"
4091,North Toronto Memorial Arena,"174 ORCHARD VIEW BL, TORONTO, ON"
4093,Ted Reeve Community Arena,"175 MAIN ST, TORONTO, ON"
4094,Smithfield Community School,"175 MOUNT OLIVE DR, TORONTO, ON"
4095,Fairmount Park Community Centre,"1757 GERRARD ST E, TORONTO, ON"
4098,Ballsports Polson Pier,"176 CHERRY ST, TORONTO, ON"
4099,McCormick Arena,"179 BROCK AVE, TORONTO, ON"
4100,Ourland Community Centre,"18 OURLAND AVE , TORONTO, ON"
4103,Chalkfarm Community Centre,"180 CHALKFARM DR, TORONTO, ON"
4106,Felix's Swim School Beaches,"181 BROADVIEW AVE, TORONTO, ON"
4107,Maurice Cody Community Centre,"181 CLEVELAND ST , TORONTO, ON"
4109,Keele Community Centre,"181 GLENLAKE AVE, TORONTO, ON"
4111,Havergal College,"1451 AVENUE RD, TORONTO, ON"
4114,Arab Community Center of Toronto,"1855 LAWRENCE AVE E, TORONTO, ON"
4115,Extreme Fun Kids Indoor Playground,"186 BARTLEY DR, TORONTO, ON"
4116,Broadlands Community Centre,"19 CASTLEGROVE BLVD, TORONTO, ON"
4117,Victoria Village Arena,"190 BERMONDSEY RD, TORONTO, ON"
4119,Better Living Centre,"1-100 PRINCES' BLVD, TORONTO, ON"
4120,Eden Community House,"196 BEVERLEY ST, TORONTO, ON"
4121,Centennial Recreation Centre - Scarborough,"1967 ELLESMERE RD, TORONTO, ON"
4126,Aquatics Academy Champagne Dr,"2 CHAMPAGNE DR, TORONTO, ON"
4127,Terry Fox Recreation Centre,"2 GLEDHILL AVE, TORONTO, ON"
4128,Alderwood Centre,"2 ORIANNA DR, TORONTO, ON"
4129,North Kipling Community Centre,"2 ROWNTREE RD, TORONTO, ON"
4131,Roywood Park R.C. Clubhouse,"2 ROYWOOD DR, TORONTO, ON"
4132,Ellesmere Community Centre,"20 CANADIAN RD, TORONTO, ON"
4135,Barbara Frum Community Centre,"20 COVINGTON RD., TORONTO, ON"
4140,L’Amoreaux Community Recreation Centre (sauna only),"2000 MCNICOLL AVE, SCARBOROUGH, ON"
4143,Toronto Sport & Social Club,"420-245 EGLINTON AVE E, TORONTO, ON"
4144,Humber Community Pool,"205 HUMBER COLLEGE BLVD, TORONTO, ON"
4145,Irving W. Chapley Community Centre,"205 WILMINGTON AVE, TORONTO, ON"
4148,Kids Fun Town,"2071 DANFORTH AVE, TORONTO, ON"
4149,Weston Lions Park,"2125 LAWRENCE AVE W, TORONTO, ON"
4150,Armour Heights Community Centre,"2140 AVENUE RD, TORONTO, ON"
4152,George Bell Arena,"215 RYDING AVE, TORONTO, ON"
4153,Masaryk-Cowan Community Recreation Centre,"220 COWAN AVE, TORONTO, ON"
4156,Fairbank Memorial Community Centre,"2213 DUFFERIN ST, TORONTO, ON"
4159,McGregor Park Community Centre,"2231 LAWRENCE AVE E, TORONTO, ON"
4161,The New Common,"225 WELLESLEY ST E, TORONTO, ON"
4162,Grandravine Community Recreation Centre,"23 GRANDRAVINE DR, TORONTO, ON"
4166,University Settlement,"23 GRANGE RD, TORONTO, ON"
4170,John Booth Memorial Arena,"230 GOSFORD BLVD, TORONTO, ON"
4171,St. Lawrence Community Recreation Centre,"230 THE ESPLANADE, TORONTO, ON"
4176,Roma Community Centre,"2340 DUNDAS ST W, TORONTO, ON"
4177,Edenbridge Centre,"235 EDENBRIDGE DR, TORONTO, ON"
4181,Main Square Community Centre,"245 MAIN ST, TORONTO, ON"
4184,Syrian Community Centre,"246 BLOOR ST W, TORONTO, ON"
4185,Don Montgomery Community Centre,"2467 EGLINTON AVE E, TORONTO, ON"
4189,St. Felix Centre,"25 AUGUSTA AVE, TORONTO, ON"
4190,Warden Hilltop Community Centre,"25 MENDELSSOHN ST, TORONTO, ON"
4193,The Badminton & Racquet Club of Toronto,"25 ST CLAIR AVE W, TORONTO, ON"
4196,Domenico Di Luca Community Recreation Centre,"25 STANLEY RD, TORONTO, ON"
4198,Stephen Leacock Community Recreation Centre,"2500 BIRCHMOUNT RD, TORONTO, ON"
4202,L'Amoreaux Collegiate Institute,"2501 BRIDLETOWNE CIR, TORONTO, ON"
4203,Stephen Leacock Seniors Community Centre,"2520 BIRCHMOUNT RD, TORONTO, ON"
4204,York Mills Arena,"2539 BAYVIEW AVE, TORONTO, ON"
4205,North York Community House,"255 RANEE AVE, TORONTO, ON"
4206,Battle Sports,"26 ASHWARREN RD, TORONTO, ON"
4207,Gord and Irene Risk Community Centre,"2650 FINCH AVE W, TORONTO, ON"
4210,The New Generation Youth Recreation Centre,"2694 EGLINTON AVE W, TORONTO, ON"
4213,West Rouge Community Centre,"270 ROUGE HILLS DR, TORONTO, ON"
4214,York Civic Centre,"2700 EGLINTON AVE. W, TORONTO, ON"
4215,DA Morrison Middle School,"271 GLEDHILL AVE, TORONTO, ON"
4216,Curran Hall Community Centre,"277 ORTON PARK RD, TORONTO, ON"
4217,Graciosa Community Centre Of Toronto,"279 DOVERCOURT RD, TORONTO, ON"
4218,Ken Cox Community Centre,"28 COLONEL SAMUEL SMITH PARK DR, TORONTO, ON"
4220,Gordon A. Brown Middle School,"2800 ST CLAIR AVE E, TORONTO, ON"
4221,Dennis R. Timbrell Resource Centre,"29 ST DENNIS DR , TORONTO, ON"
4225,LCI Sports Centre,"290 BIRMINGHAM STREET, TORONTO, ON"
4226,Heron Park Community Centre,"292 MANSE RD, TORONTO, ON"
4228,Community Junction,"2934 DUNDAS ST W, TORONTO, ON"
4229,Oriole Community Centre,"2975 DON MILLS RD W, TORONTO, ON"
4233,Malvern Recreation Centre,"30 SEWELLS RD, TORONTO, ON"
4237,Fenside Arena,"30 SLIDELL CRESCENT, TORONTO, ON"
4238,Georges Vanier Secondary School,"3000 DON MILLS RD E, TORONTO, ON"
4239,Mimico Arena,"31 DRUMMOND ST, TORONTO, ON"
4241,Agincourt Recreation Centre,"31 GLEN WATFORD DR, TORONTO, ON"
4244,Carmine Stefano Community Centre,"3100 WESTON RD, TORONTO, ON"
4247,West Scarborough Neighbourhood Centre,"313 PHARMACY AVE, TORONTO, ON"
4250,Boys & Girls Club of West Scarborough,"313 PHARMACY AVE, TORONTO, ON"
4251,All Saints Church-Community Centre,"315 DUNDAS ST E, TORONTO, ON"
4252,Toronto City Sports Centre,"32 CURITY AVE, TORONTO, ON"
4253,Horner Avenue Seniors Centre,"320 HORNER AVE, TORONTO, ON"
4254,Bayview Arena,"3230 BAYVIEW AVE., TORONTO, ON"
4256,David Appleton Community Recreation,"33 PRITCHARD AVE, TORONTO, ON"
4257,Annette Community Recreation Centre,"333 ANNETTE ST, TORONTO, ON"
4261,Habitant Arena,"3383 WESTON RD, TORONTO, ON"
4262,Emery Collegiate Institute,"3395 WESTON RD, TORONTO, ON"
4263,Larry Grossman Forest Hill Memorial Arena,"340 CHAPLIN CRES, TORONTO, ON"
4264,Park Lawn Bubble Rink,"340 PARK LAWN RD, TORONTO, ON"
4265,CW Jefferys Collegiate Institute,"340 SENTINEL RD, TORONTO, ON"
4266,Glen Long Community Centre,"35 GLEN LONG AVE, TORONTO, ON"
4269,Hilltop Community School,"35 TREHORNE DR, TORONTO, ON"
4272,Oakdale Community Centre,"350 GRANDRAVINE DR, TORONTO, ON"
4274,West Hill Collegiate Institute,"350 MORNINGSIDE AVE, TORONTO, ON"
4276,College Street Community Centre,"36 MARGUERETTA ST, TORONTO, ON"
4277,Scarborough Village Recreation Centre,"3600 KINGSTON RD, TORONTO, ON"
4279,Stan Wadlow Clubhouse,"373 CEDARVALE AVE, TORONTO, ON"
4280,Aquatics Academy,"391 ST CLEMENTS AVE, TORONTO, ON"
4281,Etobicoke Civic Centre,"399 THE WEST MALL, TORONTO, ON"
4282,Baseline Sports,"4 ASHWARREN RD, TORONTO, ON"
4284,Mount Dennis Community Hall,"4 HOLLIS ST, TORONTO, ON"
4285,SEAL Swim Club,"40 FAIRFAX CRESCENT, TORONTO, ON"
4286,William H. Bolton Arena,"40 ROSSMORE RD, TORONTO, ON"
4287,Regent Park Community Centre,"402 SHUTER ST, TORONTO, ON"
4291,Ancaster Community Centre,"41 ANCASTER RD, TORONTO, ON"
4293,Lambton Arena,"4100 DUNDAS ST W, TORONTO, ON"
4294,Earl Bales Community Centre,"4169 BATHURST ST, TORONTO, ON"
4296,Milliken Park Community Recreation Centre,"4325 MCCOWAN RD, SCARBOROUGH, ON"
4300,Franklin Horner,"432 HORNER AVE, TORONTO, ON"
4301,Islington Community School,"44 CORDOVA AVE, TORONTO, ON"
4302,Memorial Pool and Health Club,"44 MONTGOMERY RD, TORONTO, ON"
4304,Driftwood Community Recreation Centre,"4401 JANE ST, TORONTO, ON"
4306,Phil White Arena,"443 ARLINGTON AVE, TORONTO, ON"
4309,The Elms Pool and Community School,"45 GOLFDOWN DR, TORONTO, ON"
4310,Goulding Community Centre,"45 GOULDING AVE, TORONTO, ON"
4313,Armenian Community Centre of Toronto,"45 HALLCROWN PL, TORONTO, ON"
4314,Brown Community Centre,"454 AVENUE RD, TORONTO, ON"
4316,Earl Beatty Community Centre,"455 GLEBEHOLME BLVD , TORONTO, ON"
4319,Prosserman JCC,"4588 BATHURST ST, TORONTO, ON"
4321,Toronto Track And Field Centre,"4700 KEELE ST, TORONTO, ON"
4325,Jenner Jean-Marie Community Centre,"48 THORNCLIFFE PARK DR, TORONTO, ON"
4328,Indoor Cricket at Actionzone Indoor,"480 TAPSCOTT ROAD, UNIT 3, TORONTO, ON"
4331,Bob Abate Community Recreation Centre,"485 MONTROSE AVE, TORONTO, ON"
4334,York Mills Collegiate Institute,"490 YORK MILLS RD, TORONTO, ON"
4335,Wellesley Community Centre,"495 SHERBOURNE ST, TORONTO, ON"
4338,Islington Seniors' Centre,"4968 DUNDAS ST W, TORONTO, ON"
4339,Lawrence Heights Community Centre,"5 REPLIN RD, TORONTO, ON"
4342,Falstaff Community Centre,"50 FALSTAFF AVE, TORONTO, ON"
4345,Central Arena,"50 MONTGOMERY RD, TORONTO, ON"
4346,George Chuvalo Community Centre,"50 SOUSA MENDES ST, TORONTO, ON"
4347,Douglas Snow Aquatic Centre,"5100 YONGE ST, TORONTO, ON"
4348,North York Civic Centre,"5100 YONGE ST., TORONTO, ON"
4349,The 519,"519 CHURCH ST, TORONTO, ON"
4351,Vaughan Road Academy,"529 VAUGHAN RD, TORONTO, ON"
4352,Working Women Community Centre,"533A GLADSTONE AVE, TORONTO, ON"
4353,Sir Oliver Mowat Collegiate Institute,"5400 LAWRENCE AVE E, TORONTO, ON"
4354,Chabad Of Midtown Community Centre,"544 S. CLAIR AVE WEST, TORONTO, ON"
4355,Pleasantview Community Centre,"545 VAN HORNE AVE, TORONTO, ON"
4357,Port Union Community Recreation Centre,"5450 LAWRENCE AVE E, TORONTO, ON"
4360,Parkway Forest Community Centre,"55 FOREST MANOR RD, TORONTO, ON"
4373,Northview Heights Secondary School,"550 FINCH AVE W, TORONTO, ON"
4375,Cedarbrae Collegiate Institute,"550 MARKHAM RD, TORONTO, ON"
4376,Arab Community Centre,"209-555 BURNHAMTHORPE RD, TORONTO, ON"
4377,S.H. Armstrong Community Centre,"56 WOODFIELD RD, TORONTO, ON"
4381,Runnymede Collegiate Institute,"569 JANE ST, TORONTO, ON"
4382,Cecil Community Centre,"58 CECIL STREET, TORONTO, ON"
4383,Herbert H. Carnegie Centennial Centre,"580 FINCH AVE. W, TORONTO, ON"
4385,Etobicoke Olympium,"590 RATHBURN RD, TORONTO, ON"
4389,Beaches Recreation Centre,"6 WILLIAMSON RD, TORONTO, ON"
4393,Camp Naorca / FVOEC,"60 BLUE FOREST DR, NORTH YORK, ON"
4394,Applegrove Community Complex,"60 WOODFIELD RD, TORONTO, ON"
4395,Roding Community Centre,"600 RODING ST, TORONTO, ON"
4398,Cummer Park Community Centre,"6000 LESLIE ST, TORONTO, ON"
4403,Edgehill House,"61 EDGEHILL RD, TORONTO, ON"
4404,Oakridge Community Recreation Centre,"63 PHARMACY AVE, TORONTO, ON"
4406,Hollycrest Community School,"630 RENFORTH DR, TORONTO, ON"
4409,Felix's Swim Schools Downtown,"64 BALDWIN ST , TORONTO, ON"
4410,Tall Pines Community Centre,"64 RYLANDER BLVD , TORONTO, ON"
4411,Pam McConnell Aquatic Centre,"640 DUNDAS ST E, TORONTO, ON"
4413,MLS Arena / Major League Sportsplex / Pure Sports Hockey,"641 DANFORTH RD, TORONTO, ON"
4415,Toronto Rock Lacrosse Inc,"643 YONGE ST, TORONTO, ON"
4416,St. James Cathedral Centre Event Venue,"65 CHURCH ST, TORONTO, ON"
4417,Power House Recreation Centre,"65 COLONEL SAMUEL SMITH PARK DR, TORONTO, ON"
4418,West Acres Senior Centre,"65 HINTON RD, TORONTO, ON"
4420,Mary McCormick Recreation Centre,"66 SHERIDAN AVE, TORONTO, ON"
4424,Cadence House,"702 OSSINGTON AVE, TORONTO, ON"
4425,Scadding Court Community Centre,"707 DUNDAS ST W, TORONTO, ON"
4428,Park Lawn Community School,"71 BALLACAINE DR, TORONTO, ON"
4429,WoodGreen Community Services,"721 BROADVIEW AVE, TORONTO, ON"
4430,Central Tech Stadium,"725 BATHURST ST, TORONTO, ON"
4431,Tam Heather Curling And Tennis Club,"730 MILITARY TRL, TORONTO, ON"
4434,Warden Woods Community Centre,"74 FIRVALLEY CT, TORONTO, ON"
4436,North Beach Indoor Volleyball Academy,"74 RAILSIDE RD, TORONTO, ON"
4437,Eritrean Canadian Community Centre,"741 BROADVIEW AVE, TORONTO, ON"
4438,Club Kidnasium,"745 MT PLEASANT RD 2ND FLOOR, TORONTO, ON"
4439,Long Branch Arena,"75 ARCADIAN CIR, TORONTO, ON"
4441,Scarborough Gardens Arena,"75 BIRCHMOUNT RD, TORONTO, ON"
4442,The Hangar,"75 CARL HALL RD, TORONTO, ON"
4443,Parkdale Community Recreation Centre,"75 LANSDOWNE AVE, TORONTO, ON"
4446,Miles Nadal Jewish Community Centre,"750 SPADINA AVE, TORONTO, ON"
4450,Skate Loft,"5-763 WARDEN AVENUE, TORONTO, ON"
4451,Ralph Thornton Community Centre,"765 QUEEN ST E, TORONTO, ON"
4452,Adam Beck Community Centre,"79 LAWLOR AVE, TORONTO, ON"
4454,Fairfield Seniors' Centre,"80 LOTHIAN AVE, TORONTO, ON"
4456,Bedford Park Community Centre,"81 RANLEIGH AVE, TORONTO, ON"
4459,Frankland Community Centre,"816 LOGAN AVE, TORONTO, ON"
4462,St.Alban's Boys and Girls Club,"843 PALMERSTON AVE, TORONTO, ON"
4466,Harwood Hall,"85 CAYUGA AVE, TORONTO, ON"
4467,Humberwood Community Centre,"850 HUMBERWOOD BLVD, TORONTO, ON"
4469,Eastview Neighborhood Community Centre,"86 BLAKE ST, TORONTO, ON"
4471,Jimmie Simpson Recreation Centre,"870 QUEEN ST E, TORONTO, ON"
4474,Toronto Pan Am Sports Centre,"875 MORNINGSIDE AVE, TORONTO, ON"
4478,East York Memorial Arena,"888 COSBURN AVE, TORONTO, ON"
4480,Mitchell Field Community Centre,"89 CHURCH AVE, TORONTO, ON"
4484,James S. Bell Community School,"90 THIRTY FIRST ST, TORONTO, ON"
4486,East York Curling Club,"901 COSBURN AVE, TORONTO, ON"
4488,Secord Community Centre,"91 BARRINGTON AVE, TORONTO, ON"
4490,Cedarbrook Community Centre,"91 EASTPARK BLVD, TORONTO, ON"
4491,Thistletown Community Centre,"925 ALBION RD, TORONTO, ON"
4493,Jack Goodlad Community Centre,"929 KENNEDY RD, TORONTO, ON"
4494,Birchmount Community Centre,"93 BIRCHMOUNT RD, TORONTO, ON"
4497,Yorkville Jewish Centre,"94 AVENUE RD, TORONTO, ON"
4498,Chris Tonks Arena,"95 BLACK CREEK DR, TORONTO, ON"
4499,John English Community School,"95 MIMICO AVE, TORONTO, ON"
4500,Matty Eckler Recreation Centre,"953 GERRARD ST E, TORONTO, ON"
4504,Estonian House,"958 BROADVIEW AVE, TORONTO, ON"
4505,Mississauga Valley Community Centre,"1275 MISSISSAUGA VALLEY BOULEVARD, MISSISSAUGA, ON"
4510,Cawthra Park Secondary School Pool,"1305 CAWTHRA ROAD, MISSISSAUGA, ON"
4511,Mississauga Seniors’ Centre,"1389 CAWTHRA ROAD, MISSISSAUGA, ON"
4512,Carmen Corbasson Community Centre,"1399 CAWTHRA ROAD, MISSISSAUGA, ON"
4518,Burnhamthorpe Community Centre,"1500 GULLEDEN DRIVE, MISSISSAUGA, ON"
4523,Clarke Memorial Hall,"161 LAKESHORE RD W, MISSISSAUGA, ON"
4524,Erindale Community Hall,"1620 DUNDAS ST W, MISSISSAUGA, ON"
4525,The Mississaugua Golf and Country Club,"1725 MISSISSAUGA RD, MISSISSAUGA, ON"
4526,"Recreation, Athletics and Wellness Centre (RAWC)","1825 OUTER CIRCLE, MISSISSAUGA, ON"
4529,Aqua-Tots Swim Schools Mississauga,"6-1970 DUNDAS ST E, MISSISSAUGA, ON"
4530,Meadowvale Four Rinks,"2160 TORQUAY MEWS, MISSISSAUGA, ON"
4532,The Little Gym of Mississauga,"2200 DUNDAS ST E UNIT 6, MISSISSAUGA, ON"
4534,South Common Community Centre,"2233 SOUTH MILLWAY, MISSISSAUGA, ON"
4540,Clarkson Community Centre,"2475 TRUSCOTT DRIVE, MISSISSAUGA, ON"
4547,Erin Meadows Community Centre,"2800 ERIN CENTRE BOULEVARD, MISSISSAUGA, ON"
4551,Ontario Racquet Club,"884 SOUTHDOWN RD, MISSISSAUGA, ON"
4552,Civic Fitness Centre,"300 CITY CENTRE DRIVE, MISSISSAUGA, ON"
4555,Dixie Curling Club,"3071 PALSTAN RD, MISSISSAUGA, ON"
4556,Frank McKechnie Community Centre,"310 BRISTOL ROAD EAST, MISSISSAUGA, ON"
4562,Canadian Ice Academy,"3111 UNIVERSAL DR, MISSISSAUGA, ON"
4563,Erin Mills Soccer Club,"3-3135 UNITY DR, MISSISSAUGA, ON"
4564,ERIN MILLS TWIN ARENA,"3205 UNITY DR, MISSISSAUGA, ON"
4566,Mississauga YMCA,"325 BURNHAMTHORPE RD W, MISSISSAUGA, ON"
4570,Bounce N Play Indoor Playground,"3250 RIDGEWAY DR, MISSISSAUGA, ON"
4571,Streetsville Arena,"335 CHURCH ST, MISSISSAUGA, ON"
4573,Mississauga Recreation and Wellness Centre,"3359 MISSISSAUGA RD, MISSISSAUGA, ON"
4576,Canlan Sportsplex,"3360 WOLFEDALE RD, MISSISSAUGA, ON"
4577,Paul Coffey Arena,"3430 DERRY ROAD EAST, MISSISSAUGA, ON"
4578,Malton Community Centre,"3540 MORNING STAR DRIVE, MISSISSAUGA, ON"
4584,Glenforest Secondary School Pool,"3575 FIELDGATE DRIVE, MISSISSAUGA, ON"
4585,Air Riderz Trampoline Park,"3600 RIDGEWAY DRIVE UNITS 4 & 5, MISSISSAUGA, ON"
4586,Balls of Fun - Kids Indoor Playground,"3615 LAIRD ROAD 15 & 16, MISSISSAUGA, ON"
4588,Active Adult Centre of Mississauga,"377 BURNHAMTHORPE RD E SUITE 116, MISSISSAUGA, ON"
4592,Churchill Meadows Activity Centre,"3801 THOMAS STREET, MISSISSAUGA, ON"
4594,Port Credit Memorial Arena,"40 STAVEBANK ROAD NORTH, MISSISSAUGA, ON"
4595,Tomken Twin Arena,"4495 TOMKEN ROAD, MISSISSAUGA, ON"
4596,Kidsports Indoor Playground,"4500 DIXIE RD, MISSISSAUGA, ON"
4597,Northstar Aquatics,"4900 TOMKEN RD, MISSISSAUGA, ON"
4598,Mississauga Dome,"550 COURTNEYPARK DR W, MISSISSAUGA, ON"
4601,Paramount Fine Foods Centre,"5500 ROSE CHERRY PLACE, MISSISSAUGA, ON"
4607,CJ's Skatepark,"560 HENSALL CIR, MISSISSAUGA, ON"
4609,River Grove Community Centre,"5800 RIVER GROVE AVENUE, MISSISSAUGA, ON"
4614,Meadowvale Community Centre,"6655 GLEN ERIN DRIVE, MISSISSAUGA, ON"
4621,The International Centre,"6900 AIRPORT RD, MISSISSAUGA , ON"
4622,Iceland Arena,"705 MATHESON BLVD E, MISSISSAUGA, ON"
4624,Sagan Banquet Hall and Convention Centre,"7180 EDWARDS BLVD, MISSISSAUGA, ON"
4625,Courtneypark Active Living Centre,"730 COURTNEYPARK DRIVE WEST, MISSISSAUGA, ON"
4628,Huron Park Recreation Centre,"830 PAISLEY BOULEVARD WEST, MISSISSAUGA, ON"
4639,Woodhaven Recreation Center,"1 COLLINS CRESCENT, BRAMPTON, ON"
4640,Jellybeenz,"11-10 BRAMHURST AVE, BRAMPTON, ON"
4641,MOUNT PLEASANT,"100 COMMUTER DRIVE, BRAMPTON, ON"
