Facility_ID,Facility_Name,STC Standard Civic Address
2475,Capreol Community Centre and Arena,"20 MEEHAN ST., CAPREOL, ON"
2477,Capreol Millennium Resource Centre,"24 MEEHAN STREET, SUDBURY, ON"
2479,Carmichael Arena,"1298 BANCROFT DR., SUDBURY, ON"
2480,Centennial Community Centre and Arena,"4333 CENTENNIAL DR., HANMER, ON"
2482,Chelmsford Community Centre and Arena,"215 EDWARD AVE., CHELMSFORD, ON"
2484,Coniston Toe Blake Memorial,"1 GOVERNMENT ROAD, SUDBURY, ON"
2485,Dowling Leisure Centre,"79 MAIN STREET WEST, DOWLING, ON"
2489,Dr. Edgar Leclair Community Centre and Arena,"158 ST. AGNES ST., AZILDA, ON"
2491,Garson Community Centre and Arena,"100 CHURCH ST., GARSON, ON"
2494,Gatchell Pool,"43 IRVING STREET, SUDBURY, ON"
2495,Gerry McCrory Countryside Sports Complex,"235 COUNTRYSIDE DR., SUDBURY, ON"
2497,Howard Armstrong Recreation Centre,"4040 ELMVIEW DRIVE, HANMER, ON"
2501,I.J. Coady Memorial,"13 SECOND AVENUE NORTH, LEVACK, ON"
2503,McClelland Community Centre,"1 GARROW ROAD, COPPER CLIFF, ON"
2505,Nickel District,"1940 HAWTHORNE DRIVE, SUDBURY, ON"
2506,Onaping Falls Community Centre,"2 HILLSIDE AVENUE, ONAPING FALLS, ON"
2511,Levack/Onaping Youth Centre,"1 HILLSIDE AVENUE, ONAPING FALLS, ON"
2512,Panache Road Community Centre,"968 PANACHE LAKE ROAD, WHITEFISH, ON"
2514,Raymond Plourde,"1919 HELENE STREET, VAL CARON, ON"
2516,RG Dow Pool,"38 VETERANS ROAD, COPPER CLIFF, ON"
2517,Sudbury Community Arena,"240 ELGIN STREET, SUDBURY, ON"
2519,T.M. Davies Community Centre,"325 ANDERSON DRIVE, LIVELY, ON"
2521,Wahnapitae Community Centre,"161 GLENBOWER DRIVE, WAHNAPITAE, ON"
2522,Walden Youth for Youth,"15 KIN DRIVE, LIVELY, ON"
2523,Skead Community Centre,"3971 SKEAD RD, SKEAD, ON"
2524,Falconbridge Recreation Centre,"63 EDISON ROAD, FALCONBRIDGE, ON"
2526,Carol Richard Park Community Hall,"1707 GEORGE ST, VAL CARON, ON"
2527,Loellen Community Centre,"275 LOACHS RD, GREATER SUDBURY, ON"
2528,Ukrainian Seniors’ Centre,"30 NOTRE DAME AVENUE, SUDBURY, ON"
2529,Kinsmen Hall,"15 KIN DRIVE, LIVELY, ON"
2530,Naughton Community Centre,"MUNICIPAL ROAD 55, NAUGHTON, ON"
2532,Minnow Lake Place,"1127 BANCROFT DRIVE, SUDBURY, ON"
2534,Rayside-Balfour Workout Centre,"239 MONTEE PRINCIPALE, AZILDA, ON"
2535,Sudbury Indoor Tennis Centre,"30 CYPRESS STREET, GREATER SUDBURY, ON"
2536,Rayside-Balfour Youth Action Network,"214 COTE STREET, CHELMSFORD, ON"
2537,Sudbury Action Centre for Youth,"95 PINE STREET, SUDBURY, ON"
2538,Sudbury Curling Club,"300 WESSEX STREET, SUDBURY, ON"
2539,Copper Cliff Curling Club,"39 VETERANS ROAD, COPPER CLIFF, ON"
2540,YMCA of Northeastern Ontario,"140 DURHAM STREET, SUDBURY, ON"
2544,Fabio Belli Dome,"1545 KENNEDY STREET, SUDBURY, ON"
2545,Laurentian University Athletics & Recreation,"935 RAMSEY LAKE ROAD, SUDBURY, ON"
2552,Markstay-Warren Community Centre/Arena,"39 LAFONTAINE STREET, WARREN, ON"
2555,Centennial Park Arena,"376 COLLEGE AVENUE WEST, GUELPH, ON"
2557,Evergreen Seniors Community Centre,"683 WOOLWICH STREET, GUELPH, ON"
2559,Exhibition Park Arena,"70 DIVISION STREET, GUELPH, ON"
2561,Guelph Civic Museum,"52 NORFOLK STREET, GUELPH, ON"
2562,Guelph Sports Dome,"75 COLLEGE AVENUE WEST, GUELPH, ON"
2564,Sleeman Centre,"50 WOOLWICH ST., GUELPH, ON"
2566,Victoria Road Recreation Centre,"151 VICTORIA ROAD NORTH, GUELPH, ON"
2577,Cole Road Co-operative Community,"125 COLE RD. GUELPH, ON"
2578,Out On The Shelf,"42 CARDEN ST, GUELPH, ON"
2579,Lakeside HOPE House,"10 CORK STREET EAST, GUELPH, ON"
2580,Guelph Black Heritage Society (GBHS),"83 ESSEX STREET GUELPH, ON"
2581,Wyndham House,"133 WOOLWICH STREET, GUELPH, ON"
2582,Funmazing Playcentre,"785 IMPERIAL ROAD NORTH, UNIT B, GUELPH, ON"
2583,Rainbow Play Centre,"432 STONE ROAD WEST, GUELPH, ON"
2584,Tiny Town Children's Discovery Centre,"66 ARROW ROAD, UNIT D, GUELPH, ON"
2585,Royal Distributing Athletic Performance Centre,"7384 WELLINGTON ROAD 30, GUELPH, ON"
2588,Royal City Ball Hockey,"133 WOODLAWN ROAD, GUELPH, ON"
2590,Ward Skate Park,"199 VICTORIA ROAD SOUTH, GUELPH, ON"
2591,College Park Community Centre,"302 COLLEGE AVENUE WEST, GUELPH, ON"
2592,YMCA-YWCA of Guelph,"130 WOODLAND GLEN DRIVE, GUELPH, ON"
2595,Royal City Tennis Club,"70 MUNICIPAL STREET, GUELPH, ON"
2596,Guelph Curling Club,"816 WOOLWICH STREET, GUELPH, ON"
2597,The New Guelph Gryphons Athletics Centre,"50 STONE ROAD EAST, GUELPH, ON"
2600,Marden Community Centre,"7368 WELLINGTON ROAD 30, GUELPH, ON"
2601,Rockmosa Community Centre,"110 ROCKMOSA DRIVE, ROCKWOOD, ON"
2602,Rockmosa Older Adult Centre,"121 ROCKMOSA DRIVE, ROCKWOOD, ON"
2603,Rockmosa Park & Splash Pad,"120 ROCKMOSA DRIVE, ROCKWOOD, ON"
2604,Gryphon Centre,"50 STONE RD E, GUELPH, ON"
2605,Gryphon Field House,"55 EAST RING ROAD, GUELPH, ON"
2607,Gryphon Aquatic Centre,"50 EAST RING ROAD, GUELPH, ON"
2609,Guelph Gryphons Athletics Centre,"50 EAST RING ROAD, GUELPH, ON"
2612,Optimist Recreation Centre,"23 BROCK RD S, PUSLINCH, ON"
2614,Puslinch Community Centre,"23 BROCK RD S, PUSLINCH, ON"
2615,Badenoch Community Centre ,"4217 WATSON RD S, PUSLINCH, ON"
2616,Ancaster Aquatic Centre,"47 MEADOWBROOK DR, ANCASTER, ON"
2618,Ancaster Rotary Centre,"385 JERSEYVILLE RD W, ANCASTER, ON"
2623,Bennetto Community Centre,"450 HUGHSON ST N, HAMILTON, ON"
2626,Bernie Morelli Recreation Centre,"876 CANNON ST E, HAMILTON, ON"
2633,Binbrook - St Mattew Catholic Elementary School,"200 WINDWOOD DR, BINBROOK, ON"
2634,Central Memorial Recreation Centre,"93 WEST AVENUE S, HAMILTON, ON"
2640,Dalewood Recreation Centre,"1150 MAIN ST W, HAMILTON, ON"
2647,Dominic Agostino Riverdale Community Centre,"150 VIOLET DR, HAMILTON, ON"
2651,Dundas Community Pool,"39 MARKET ST S, DUNDAS, ON"
2652,Dundas Lions Memorial Recreation Centre,"10 MARKET ST S, HAMILTON, ON"
2656,H.G. Brewster Pool,"200 DEWITT RD, STONEY CREEK, ON"
2657,Hill Park Recreation Centre,"305 SOUTH BEND RD E, HAMILTON, ON"
2663,Huntington Park Recreation Centre,"87 BRENTWOOD DR, HAMILTON, ON"
2670,Jimmy Thompson Pool,"1099 KING ST E, HAMILTON, ON"
2671,Norman Pinky Lewis Recreation Centre,"192 WENTWORTH ST N, HAMILTON, ON"
2674,Ryerson Recreation Centre,"251 DUKE ST, HAMILTON, ON"
2679,Sir Allan MacNab Recreation Centre,"145 MAGNOLIA DR, HAMILTON, ON"
2685,Sir Wilfred Laurier Recreation Centre,"60 ALBRIGHT RD, HAMILTON, ON"
2689,Sir Winston Churchill Recreation Centre,"1715 MAIN ST E, HAMILTON, ON"
2693,Stoney Creek Recreation Centre,"45 KING ST W, STONEY CREEK, ON"
2696,Valley Park Community Centre,"970 PARAMOUNT DR, STONEY CREEK, ON"
2702,Valley Park Arena,"970 PARAMOUNT DR, STONEY CREEK, ON"
2703,Westmount Recreation Centre,"35 LYNBROOK DR, HAMILTON, ON"
2710,Winona Community Centre,"255 WINONA RD, STONEY CREEK, ON"
2714,Beverly Arena ,"680 ON-8, ROCKTON, ON"
2715,Bill Friday Arena,"150 FOLKESTONE AVE, HAMILTON, ON"
2716,Carlisle Arena,"1496 CENTRE RD, CARLISLE, ON"
2717,Chedoke Twin Pad Arena,"91 CHEDMAC DR, HAMILTON, ON"
2719,Dave Andreychuck Mountain Arena,"25 HESTER ST, HAMILTON, ON"
2720,Eastwood Arena,"111 BURLINGTON ST E, HAMILTON, ON"
2721,Glanbrook Arena,"4300 BINBROOK RD, BINBROOK, ON"
2722,Harry Howell Arena,"27 HWY 5 WEST, FLAMBOROUGH, ON"
2723,Inch Park Arena,"400 QUEENSDALE AVE E, HAMILTON, ON"
2724,J.L. Grightmire Arena,"35 MARKET ST S, DUNDAS, ON"
